,Drug name,"Drug
type",Species origin (family),"Therapeutic class or
targeted disease",source_page
174,Cefotetan sodium,ND,"Amycolatopsis lactamdurans (Pseudonocardiaceae);
Streptomyces cattleya (Streptomycetaceae); Streptomyces
clavuligerus (Streptomycetaceae)",Antibacterial,19
175,"Cefotiam hexetil
HCL",ND,"Acremonium chrysogenum (Acremonium); Emericellopsis
minima (Emericellopsis); Amycolatopsis lactamdurans
(Pseudonocardiaceae); Streptomyces clavuligerus
(Streptomycetaceae)",Antibacterial,20
176,Cefoxitin sodium,ND,"Amycolatopsis lactamdurans (Pseudonocardiaceae);
Streptomyces cattleya (Streptomycetaceae); Streptomyces
clavuligerus (Streptomycetaceae)",Antibacterial,20
177,Cefozopran HCL,ND,"Acremonium chrysogenum (Acremonium); Emericellopsis
minima (Emericellopsis); Amycolatopsis lactamdurans
(Pseudonocardiaceae); Streptomyces clavuligerus
(Streptomycetaceae)",Antibacterial,20
178,Cefpimizole,ND,"Acremonium chrysogenum (Acremonium); Emericellopsis
minima (Emericellopsis); Amycolatopsis lactamdurans
(Pseudonocardiaceae); Streptomyces clavuligerus
(Streptomycetaceae)",Antibacterial,20
179,"Cefpiramide
sodium",ND,"Acremonium chrysogenum (Acremonium); Emericellopsis
minima (Emericellopsis); Amycolatopsis lactamdurans
(Pseudonocardiaceae); Streptomyces clavuligerus
(Streptomycetaceae)",Antibacterial,20
180,Cefpirome sulfate,ND,"Acremonium chrysogenum (Acremonium); Emericellopsis
minima (Emericellopsis); Amycolatopsis lactamdurans
(Pseudonocardiaceae); Streptomyces clavuligerus
(Streptomycetaceae)",Antibacterial,20
181,"Cefpodoxime
proxetil",ND,"Acremonium chrysogenum (Acremonium); Emericellopsis
minima (Emericellopsis); Amycolatopsis lactamdurans
(Pseudonocardiaceae); Streptomyces clavuligerus
(Streptomycetaceae)",Antibacterial,20
182,Cefprozil,ND,"Acremonium chrysogenum (Acremonium); Emericellopsis
minima (Emericellopsis); Amycolatopsis lactamdurans
(Pseudonocardiaceae); Streptomyces clavuligerus
(Streptomycetaceae)",Antibacterial,20
183,Cefradine,ND,"Acremonium chrysogenum (Acremonium); Emericellopsis
minima (Emericellopsis); Amycolatopsis lactamdurans
(Pseudonocardiaceae); Streptomyces clavuligerus
(Streptomycetaceae)",Antibacterial,20
184,Cefroxadine,ND,"Acremonium chrysogenum (Acremonium); Emericellopsis
minima (Emericellopsis); Amycolatopsis lactamdurans
(Pseudonocardiaceae); Streptomyces clavuligerus
(Streptomycetaceae)",Antibacterial,20
185,Cefsulodin,ND,Acremonium chrysogenum (Acremonium),Antibiotic,20
186,Ceftaroline fosamil,ND,Acremonium (Acremonium),Antibiotic,20
187,"Ceftazidime
pentahydrate",ND,"Acremonium chrysogenum (Acremonium); Emericellopsis
minima (Emericellopsis); Amycolatopsis lactamdurans
(Pseudonocardiaceae); Streptomyces clavuligerus
(Streptomycetaceae)",Antibacterial,20
188,Cefteram pivoxil,ND,"Acremonium chrysogenum (Acremonium); Emericellopsis
minima (Emericellopsis); Amycolatopsis lactamdurans
(Pseudonocardiaceae); Streptomyces clavuligerus
(Streptomycetaceae)",Antibacterial,20
189,Ceftezole,ND,"Acremonium chrysogenum (Acremonium); Emericellopsis
minima (Emericellopsis); Amycolatopsis lactamdurans
(Pseudonocardiaceae); Streptomyces clavuligerus
(Streptomycetaceae)",Antibacterial,20
190,Ceftibuten,ND,"Acremonium chrysogenum (Acremonium); Emericellopsis
minima (Emericellopsis); Amycolatopsis lactamdurans
(Pseudonocardiaceae); Streptomyces clavuligerus
(Streptomycetaceae)",Antibacterial,21
191,Ceftiofur,ND,"Acremonium chrysogenum (Acremonium); Emericellopsis
minima (Emericellopsis); Amycolatopsis lactamdurans
(Pseudonocardiaceae); Streptomyces clavuligerus
(Streptomycetaceae)",Antibacterial,21
192,"Ceftizoxime
sodium",ND,"Acremonium chrysogenum (Acremonium); Emericellopsis
minima (Emericellopsis); Amycolatopsis lactamdurans
(Pseudonocardiaceae); Streptomyces clavuligerus
(Streptomycetaceae)",Antibacterial,21
193,"Ceftobiprole
medocaril",ND,"Acremonium chrysogenum (Acremonium); Emericellopsis
minima (Emericellopsis); Amycolatopsis lactamdurans
(Pseudonocardiaceae); Streptomyces clavuligerus
(Streptomycetaceae)",Antibacterial,21
194,Ceftriaxone sodium,ND,"Acremonium chrysogenum (Acremonium); Emericellopsis
minima (Emericellopsis); Amycolatopsis lactamdurans
(Pseudonocardiaceae); Streptomyces clavuligerus
(Streptomycetaceae)",Antibacterial,21
195,Cefuroxime axetil,ND,"Acremonium chrysogenum (Acremonium); Emericellopsis
minima (Emericellopsis); Amycolatopsis lactamdurans
(Pseudonocardiaceae); Streptomyces clavuligerus
(Streptomycetaceae)",Antibacterial,21
196,Cefuzonam sodium,ND,"Acremonium chrysogenum (Acremonium); Emericellopsis
minima (Emericellopsis); Amycolatopsis lactamdurans
(Pseudonocardiaceae); Streptomyces clavuligerus
(Streptomycetaceae)",Antibacterial,21
197,Celeuk,B,Homo sapiens (Hominidae),Anticancer,21
198,Celiprolol HCl,S*,Homo sapiens (Hominidae),Antihypertensive,21
199,Celmoleukin,B,Homo sapiens (Hominidae),Anticancer,21
200,Centoxin,B,Homo sapiens (Hominidae),Antisepsis,21
201,Ceprotin Protein C,B,Homo sapiens (Hominidae),Purpura fulminans,21
202,Certoparin sodium,ND,Homo sapiens (Hominidae),DVT; anticoagulant,21
203,Cerubidine,N,"Streptomyces coeruleorubidus (Streptomycetaceae);
Streptomyces peucetius (Streptomycetaceae)",Oncological disease,21
204,Cetrorelix,ND,Homo sapiens (Hominidae),Fertility enhancer,21
205,Cetuximab,B,Homo sapiens (Hominidae),Anticancer,21
206,Chenodiol,N,Homo sapiens (Hominidae),Anticholelithogenic,21
207,Chloramphenicol,N,Streptomyces venezuelae (Streptomycetaceae),Antibacterial,21
208,Chloroquine,ND,Cinchona officinalis (Rubiaceae),Antiparasitic,21
209,Chlorotrianisene,S,Homo sapiens (Hominidae),Anticancer,21
210,Chlortetracycline,N,Streptomyces aureofaciens (Streptomycetaceae),Antibacterial,21
211,Choline alfoscerate,N,Homo sapiens (Hominidae),Nootropic,21
212,"Choriogonadotropi
n alfa",B,Homo sapiens (Hominidae),Hormone,21
213,Chromomycin A3,N,Streptomyces griseus (Streptomycetaceae),Oncological disease,21
214,Ciclesonide,ND,Homo sapiens (Hominidae),Antiasthmatic,21
215,Cidofovir,S*,Cytomegalovirus (Herpesviridae); Homo sapiens,Antiviral,21
216,,,(Hominidae),,22
217,Cilazapril,S*/NM,Bothrops jararaca (Viperidae),Cardiovascular disease,22
218,"Cimetropium
bromide",ND,Datura metel (Solanaceae),Antispasmodic,22
219,"Cisatracurium
besilate",S*,Leontice leontopetalum (Berberidaceae),Muscle relaxant,22
220,Cissampeline,N,Cissampelos pareira (Menispermaceae),Skeletal muscle relaxant,22
221,Cladribine,ND,Homo sapiens (Hominidae),Anticancer,22
222,Clarithromycin,ND,Saccharopolyspora erythraea (Pseudonocardiaceae),Antibacterial,22
223,Climara Pro,ND,Homo sapiens (Hominidae),Hormone replacement therapy,22
224,Clindamycin,ND,Streptomyces lincolnensis (Streptomycetaceae),Antibacterial,22
225,Clofarabine,S*,Homo sapiens (Hominidae); Homo sapiens (Hominidae),Anticancer,22
