,Drug name,"Drug
type",Species origin (family),"Therapeutic class or
targeted disease",source_page
775,Roxithromycin,ND,Saccharopolyspora erythraea (Pseudonocardiaceae),Antibacterial,40
776,Rubella vaccine,V,Rubella virus (Togaviridae),Antiviral,40
777,Rutin,N,Citrus (Rutaceae),Capillary fragility,40
778,Salbutamol,ND,Ephedra sinica (Ephedraceae),Inflammatory disease,40
779,Salicin,N,Salix alba (Salicaceae),"Immunological, inflammatory
and related disease",40
780,Salmeterol,ND,Ephedra sinica (Ephedraceae),Inflammatory disease,40
781,Sandimmune,N,"Claviceps purpurea (Clavicipitaceae); Tolypocladium
inflatum (Clavicipitaceae); Cylindrocarpon lucidum
(Nectriaceae)","Immunological, inflammatory
and related disease",40
782,"Sandoparin Lmw
heparin",ND,Homo sapiens (Hominidae),Anticoagulant,40
783,Sanguinarine,N,Sanguinaria canadensis (Papaveraceae),Dental plaque inhibitor,40
784,Santonin,N,Artemisia (Asteraceae),Anthelmintic Chemotherapy,40
785,"Sapropterin
hydrochloride",ND,Homo sapiens (Hominidae),Hyperphenylalaninemia,40
786,"Saquinavir
mesylate",S*/NM,"Actinomyces (Actinomycetaceae); Streptomyces testaceus
(Streptomycetaceae); Streptomyces argenteolus subsp.",Antiviral,40
787,,,toyonakensis (Streptomycetaceae),,41
788,Sargramostim,B,Homo sapiens (Hominidae),Immunostimulant,41
789,Sarkomycin,N,Streptomyces erythrochromogenes (Streptomycetaceae),Anticancer,41
790,Sativex,N,Cannabis sativa (Cannabaceae),Neuropathic pain,41
791,Schizophyllan,N,Schizophyllum commune (Schizophyllaceae),"Immunological, inflammatory
and related disease",41
792,Scopolamine,N,Datura metel (Solanaceae),"Immunological, inflammatory
and related disease",41
793,Sennoside A,N,Cassia senna (Fabaceae),Cardiovascular disease,41
794,Sennoside B,N,Cassia senna (Fabaceae),Cardiovascular disease,41
795,Serevent,S*/NM,Ephedra sinica (Ephedraceae),Inflammatory disease,41
796,Sermorelin acetate,ND,Homo sapiens (Hominidae),Growth hormone deficiency,41
797,Sertindole,S*/NM,Homo sapiens (Hominidae),Neuroleptic,41
798,Sildenafil citrate,S*/NM,Homo sapiens (Hominidae),Male sexual dysfunction,41
799,Silteplase,B,Homo sapiens (Hominidae),Antithrombotic,41
800,Silymarin,N,Silybum marianum (Asteraceae),Antihepatotoxic,41
801,Simvastatin,ND,"Pseudonocardia autotrophica (Pseudonocardiaceae);
Aspergillus terreus (Trichocomaceae); Penicillium
brevicompactum (Trichocomaceae); Penicillium citrinum
(Trichocomaceae)",Cardiovascular disease,41
802,Sinecatechins,NB,Camellia sinensis (Theaceae),Anticancer,41
803,Sirolimus,N,Streptomyces hygroscopicus (Streptomycetaceae),Immunosuppresive,41
804,Sodium oxybate,ND,Homo sapiens (Hominidae),Narcolepsy,41
805,Sofalcone,ND,"Sophora flavescens (Fabaceae); Sophora alopecuroides
(Fabaceae); Sophora prostrata (Fabaceae)",Antiulcer,41
806,Solamargine,N,"Solanum aculeatissimum (Solanaceae); Solanum incanum
(Solanaceae); Solanum americanum (Solanaceae)",Oncological disease,41
807,Somatomedin-1,B,Homo sapiens (Hominidae),Hormone,41
808,Somatotropin,B,Homo sapiens (Hominidae),Hormone,41
809,Somatrem,B,Homo sapiens (Hominidae),Hormone,41
810,Somatropin,N,Homo sapiens (Hominidae),Growth hormone deficiency,41
811,Somazon,B,Homo sapiens (Hominidae),Antidiabetic,41
812,Sorafenib,S/NM,"Zea mays (Poaceae); Cocos nucifera (Arecaceae); Spinacia
oleracea (Amaranthaceae); Pisum sativum (Fabaceae); Zea
mays (Poaceae); Cocos nucifera (Arecaceae); Spinacia
oleracea (Amaranthaceae); Pisum sativum (Fabaceae); Zea
mays (Poaceae); Cocos nucifera (Arecaceae); Spinacia
oleracea (Amaranthaceae); Pisum sativum (Fabaceae); Zea
mays (Poaceae); Cocos nucifera (Arecaceae); Spinacia
oleracea (Amaranthaceae); Pisum sativum (Fabaceae); Zea
mays (Poaceae); Cocos nucifera (Arecaceae); Spinacia
oleracea (Amaranthaceae); Pisum sativum (Fabaceae)",Anticancer,41
813,Sorivudine,S*,"Human herpesvirus 1 (Herpesviridae); Human herpesvirus 3
(Herpesviridae); Human herpesvirus 4 (Herpesviridae);
Homo sapiens (Hominidae)",Antiviral,41
814,"Spectinomycin
hydrochloride",N,Streptomyces spectabilis (Streptomycetaceae),Antibiotic,41
815,Spectracef,ND,"Acremonium chrysogenum (Acremonium); Emericellopsis
minima (Emericellopsis); Amycolatopsis lactamdurans
(Pseudonocardiaceae); Streptomyces clavuligerus
(Streptomycetaceae)",Antibacterial,42
816,"Sphingosomal
topotecan",ND,"Mappia foetida (Icacinaceae); Camptotheca acuminata
(Cornaceae); Ophiorrhiza pumila (Rubiaceae)",Oncological disease,42
817,Spiramycin,N,Streptomyces ambofaciens (Streptomycetaceae),Antibiotic,42
818,Spirapril HCI,S*/NM,Bothrops jararaca (Viperidae),Cardiovascular disease,42
819,Stavudine,S*,"Human immunodeficiency virus 1 (Retroviridae); Homo
sapiens (Hominidae)",Antiviral,42
820,Stevioside,N,Stevia rebaudiana (Asteraceae),Sweetener,42
821,"Streptomycin
sulfate",N,Streptomyces griseus (Streptomycetaceae),Antibacterial,42
822,Streptozocin,N,Streptomyces achromogenes (Streptomycetaceae),Oncological disease,42
823,Strychnine,N,Strychnos nux-vomica (Loganiaceae),Neurological disease,42
824,"Suberoylanilide
hydroxamic acid",ND,Streptomyces hygroscopicus (Streptomycetaceae),Oncological disease,42
825,Sulbactam sodium,ND,"Aspergillus flavus (Trichocomaceae); Emericella nidulans
(Trichocomaceae); Penicillium chrysogenum
(Trichocomaceae)",Beta-lactamase inhibitor,42
826,Sulprostone,ND,"Larix sibirica (Pinaceae); Prunus tomentosa (Rosaceae);
Populus balsamifera (Salicaceae); Manduca sexta
(Sphingidae)",Abortifacient,42
827,"Sultamicillin
tosilate",ND,"Aspergillus flavus (Trichocomaceae); Emericella nidulans
(Trichocomaceae); Penicillium chrysogenum
(Trichocomaceae)",Antibacterial,42
828,"Sumatriptan
succinate",S*/NM,Homo sapiens (Hominidae),Antimigraine,42
829,Sunitinib malate,S/NM,"Zea mays (Poaceae); Cocos nucifera (Arecaceae); Spinacia
oleracea (Amaranthaceae); Pisum sativum (Fabaceae); Zea
mays (Poaceae); Cocos nucifera (Arecaceae); Spinacia
oleracea (Amaranthaceae); Pisum sativum (Fabaceae); Zea
mays (Poaceae); Cocos nucifera (Arecaceae); Spinacia
oleracea (Amaranthaceae); Pisum sativum (Fabaceae); Zea
mays (Poaceae); Cocos nucifera (Arecaceae); Spinacia
oleracea (Amaranthaceae); Pisum sativum (Fabaceae); Zea
mays (Poaceae); Cocos nucifera (Arecaceae); Spinacia
oleracea (Amaranthaceae); Pisum sativum (Fabaceae)",Anticancer,42
830,Synercid,ND,Streptomyces pristinaespiralis (Streptomycetaceae),Antibacterial,42
831,Tacalcitol,ND,Agaricus bisporus (Agaricaceae),Antipsoriatic,42
832,Tacrolimus,N,Streptomyces tsukubaensis (Streptomycetaceae),"Immunological, inflammatory
and related disease",42
833,Tadalafil,S*/NM,Homo sapiens (Hominidae),Male sexual dysfunction,42
834,Taltirelin,ND,Homo sapiens (Hominidae),CNS Stimulant,42
835,Tandospirone,S/NM,Homo sapiens (Hominidae),Anxiolytic,42
836,Tasonermin,B,Escherichia coli (Enterobacteriaceae),Anticancer,42
837,"Tazobactam
sodium",ND,"Aspergillus flavus (Trichocomaceae); Emericella nidulans
(Trichocomaceae); Penicillium chrysogenum
(Trichocomaceae)",Antibacterial,42
838,Teceleukin,B,Homo sapiens (Hominidae); Escherichia coli,Anticancer,42
839,,,(Enterobacteriaceae),,43
840,Tegaserod maleate,S*/NM,Homo sapiens (Hominidae),IBS,43
841,Teicoplanin,N,Actinoplanes teichomyceticus (Micromonosporaceae),Antibacterial,43
842,Telavancin,ND,Amycolatopsis orientalis (Pseudonocardiaceae),Antibiotic,43
843,Telithromycin,ND,Saccharopolyspora erythraea (Pseudonocardiaceae),Antibacterial,43
844,Telmisartan,S/NM,Rattus norvegicus (Muridae),Antihypertensive,43
845,"Temocapril
hydrochloride",S*/NM,Bothrops jararaca (Viperidae),Cardiovascular disease,43
846,"Temocillin
disodium",ND,"Aspergillus flavus (Trichocomaceae); Emericella nidulans
(Trichocomaceae); Penicillium chrysogenum
(Trichocomaceae)",Antibacterial,43
847,Temoporfin,S/NM,Homo sapiens (Hominidae),Anticancer,43
848,Temsirolimus,ND,Streptomyces hygroscopicus (Streptomycetaceae),Anticancer,43
849,Tenecteplase,B,Homo sapiens (Hominidae),Antithrombotic,43
850,Teniposide,ND,"Dysosma pleiantha (Berberidaceae); Podophyllum peltatum
(Berberidaceae); Sinopodophyllum hexandrum
(Berberidaceae)",Oncological disease,43
851,"Tenofovir
disoproxil fumarate",S*,"Human immunodeficiency virus 1 (Retroviridae); Homo
sapiens (Hominidae)",Antiviral,43
852,Teprenone,ND,Homo sapiens (Hominidae),Antiulcer,43
853,Terbutyline,ND,Homo sapiens (Hominidae),Antihypertensive,43
854,Teriparatide acetate,ND,Homo sapiens (Hominidae),Osteoporosis,43
855,Tesamorelin,N,Homo sapiens (Hominidae),HIV lipodystrophy,43
856,Teslac,ND,Homo sapiens (Hominidae),Oncological disease,43
857,Testosterone,N,Homo sapiens (Hominidae),Antineoplastic,43
858,Tetracycline,N,"Streptomyces aureofaciens (Streptomycetaceae);
Streptomyces viridifaciens (Streptomycetaceae)",Antibacterial,43
859,THC-CBD,N,Cannabis sativa (Cannabaceae),Neurological disease,43
860,Theobromine,N,Theobroma cacao (Malvaceae),"Vasodilator, Diuretic",43
861,Theophylline,N,"Theobroma cacao (Malvaceae); Theobroma bicolor
(Malvaceae); Theobroma angustifolium (Malvaceae);
Paullinia cupana (Sapindaceae); Camellia sinensis
(Theaceae); Coffea arabica (Rubiaceae)","Bronchodilator, Diuretic",43
862,TheraCys,V,Mycobacterium bovis BCG (Mycobacteriaceae),Anticancer,43
863,Thiamphenicol,ND,Streptomyces venezuelae (Streptomycetaceae),Antibiotic,43
864,Thioguanine,S*,Homo sapiens (Hominidae),Oncological disease,43
865,Thymalfasin,B,Homo sapiens (Hominidae),Hepatitis,43
866,Thymoglobuline,B,Homo sapiens (Hominidae),Immunosuppressant,43
867,Thymol,N,Thymus vulgaris (Lamiaceae),Antifungal,43
868,Thymopentin,ND,Homo sapiens (Hominidae),Immunomodulator,43
869,Tibolone,N,Homo sapiens (Hominidae),Anabolic metabolism,43
870,Tigecycline,ND,"Streptomyces aureofaciens (Streptomycetaceae);
Streptomyces viridifaciens (Streptomycetaceae)",Antibacterial,43
871,Timentin,ND,"Aspergillus flavus (Trichocomaceae); Emericella nidulans
(Trichocomaceae); Penicillium chrysogenum
(Trichocomaceae)",Antibacterial,43
872,Tiopronin,ND,Homo sapiens (Hominidae),Urolithiasis,44
873,"Tiotropium
bromide",S*/NM,"Atropa belladonna (Solanaceae); Datura stramonium
(Solanaceae); Mandragora officinarum (Solanaceae)",Anticholinergic,44
874,Tobramycin sulfate,N,Streptomyces tenebrarius (Pseudonocardiaceae),Antibacterial,44
875,Tocilizumab,B,Mus musculus (Muridae),Inflammatory bowel disease,44
876,Toposar,ND,"Dysosma pleiantha (Berberidaceae); Podophyllum peltatum
(Berberidaceae); Sinopodophyllum hexandrum
(Berberidaceae)",Oncological disease,44
877,Topotecan HCl,ND,"Mappia foetida (Icacinaceae); Camptotheca acuminata
(Cornaceae); Ophiorrhiza pumila (Rubiaceae)",Oncological disease,44
878,Tositumomab,B,Homo sapiens (Hominidae),Anticancer,44
879,Trandolapril,S*/NM,Bothrops jararaca (Viperidae),Cardiovascular disease,44
880,"Tranylcypromine
sulfate",ND,"Ephedra sinica (Ephedraceae); Acacia rigidula (Fabaceae);
Senegalia berlandieri (Fabaceae)",Major depressive,44
881,Trastuzumab,B,Mus musculus (Muridae),Oncological disease,44
882,Travoprost,ND,"Allium sativum (Amaryllidaceae); Artemisia dracunculus
(Asteraceae); Manduca sexta (Sphingidae)",Antiglaucoma,44
883,Treprostinil sodium,ND,Homo sapiens (Hominidae),Antihypertensive; pulmonary,44
884,Tretinoin tocoferil,ND,Daucus carota (Apiaceae),Antiulcer,44
885,Triamcinolone,ND,Homo sapiens (Hominidae),Oncological disease,44
886,Trimegestone,ND,Homo sapiens (Hominidae),Hormone replacement therapy,44
887,Triptolide,N,Tripterygium wilfordii (Celastraceae),"Immunological, inflammatory
and related disease",44
888,Triptorelin,ND,Homo sapiens (Hominidae),Oncological disease,44
889,Trobicin,N,Streptomyces spectabilis (Streptomycetaceae),Antibiotic,44
890,Troleandomycin,ND,Saccharopolyspora erythraea (Pseudonocardiaceae),Antibacterial,44
891,Tubocurarine,N,"Strychnos (Loganiaceae); Strychnos (Loganiaceae);
Chondrodendron tomentosum (Menispermaceae); Curarea
(Menispermaceae)",Skeletal muscle relaxant,44
892,Ubenimex,N,Streptomyces olivoreticuli (Streptomycetaceae),"Immunological, inflammatory
and related disease",44
893,Ulinastatin,B,Homo sapiens (Hominidae),Pancreatic disorders,44
894,"Unoprostone
isopropyl ester",ND,"Larix sibirica (Pinaceae); Prunus tomentosa (Rosaceae);
Populus balsamifera (Salicaceae); Manduca sexta
(Sphingidae)",Antiglaucoma,44
895,Urofollitrophin,B,Homo sapiens (Hominidae),Infertility; female,44
896,Valaciclovir HCl,S*,"Human herpesvirus 1 (Herpesviridae); Human herpesvirus 2
(Herpesviridae); Human herpesvirus 3 (Herpesviridae);
Homo sapiens (Hominidae)",Antiviral,44
897,Valganciclovir,S*,"Cytomegalovirus (Herpesviridae); Homo sapiens
(Hominidae)",Antiviral,44
898,Valrubicin,ND,Streptomyces peucetius (Streptomycetaceae),Oncological disease,44
899,Valsartan,S/NM,Rattus norvegicus (Muridae),Antihypertensive,44
900,Vancomycin,N,Amycolatopsis orientalis (Pseudonocardiaceae),Antibacterial,44
901,Vapreotide acetate,ND,Homo sapiens (Hominidae),Anticancer,44
902,"Vaqta Hepatitis a
vaccine",V,Hepatitis A virus (Picornaviridae),Hepatitis,44
903,Vardenafil,S*/NM,Homo sapiens (Hominidae),Male sexual dysfunction,44
904,"Varivax Varicella
virus vaccine",V,Human herpesvirus 3 (Herpesviridae),Antiviral,45
905,VariZIG,V,Human herpesvirus 3 (Herpesviridae),Antiviral,45
906,Vasicine,N,Acanthaceae (Acanthaceae),Oxytocic,45
907,"Vecuronium
bromide",ND,Homo sapiens (Hominidae),Muscle relaxant,45
908,Velaglucerase alfa,N,Homo sapiens (Hominidae),Gaucher disease,45
909,"Velosulin BR
insulin",B,Homo sapiens (Hominidae),Antidiabetic,45
910,Verteporfin,S*,Homo sapiens (Hominidae),Photosensitizer,45
911,"Vi polysaccharide
typhoid vacc",V,"Salmonella enterica subsp. enterica serovar Typhi
(Enterobacteriaceae)",Antibacterial,45
912,Vidarabine,S*,"Streptomyces antibioticus (Streptomycetaceae);
Streptomyces griseus (Streptomycetaceae); Tethya
(Tethyidae)",Antiviral,45
913,Vigabatrin,ND,Homo sapiens (Hominidae),Antiepileptic,45
914,"VIGIV Vaccinia
immune globulin",V,Homo sapiens (Hominidae),Vaccinia complications,45
915,Vinblastine,N,Catharanthus roseus (Apocynaceae),Oncological disease,45
916,Vincamine,N,Vinca minor (Apocynaceae),Cerebral stimulant,45
917,Vincristine,N,Catharanthus roseus (Apocynaceae),Oncological disease,45
918,Vindesine,ND,Catharanthus roseus (Apocynaceae),Oncological disease,45
919,Vinorelbine,N,Catharanthus roseus (Apocynaceae),Oncological disease,45
920,Viomycin sulfate,N,Streptomyces puniceus (Streptomycetaceae),Antibacterial,45
921,Viraferon,B,Homo sapiens (Hominidae),Antiviral,45
922,Virginiamycin,ND,Streptomyces pristinaespiralis (Streptomycetaceae),Antibiotic,45
923,Voglibose,N,Streptomyces hygroscopicus (Streptomycetaceae),Cardiovascular disease,45
924,Vyvanse,ND,"Ephedra sinica (Ephedraceae); Acacia rigidula (Fabaceae);
Senegalia berlandieri (Fabaceae)",Neurological disease,45
925,Warfarin,N,Melilotus officinalis (Fabaceae),Cardiovascular disease,45
926,Wellferon,B,Homo sapiens (Hominidae),Antiviral,45
927,Wilate,B,Homo sapiens (Hominidae),Hemophilia,45
928,Wilfactin,B,Homo sapiens (Hominidae),Hemostatic,45
929,Xanthotoxin,N,Ammi majus (Apiaceae),"Leukoderma, Vitiligo",45
930,Ximelagatran,S/NM,Homo sapiens (Hominidae),DVT; anticoagulant,45
931,Xostavax,V,Human herpesvirus 3 (Herpesviridae),Antiviral,45
932,Yamatetan,ND,"Amycolatopsis lactamdurans (Pseudonocardiaceae);
Streptomyces cattleya (Streptomycetaceae); Streptomyces
clavuligerus (Streptomycetaceae)",Antibacterial,45
933,Yohimbine,N,Pausinystalia (Rubiaceae),Aphrodisiac,45
934,Zalcitabine,S*,"Human immunodeficiency virus 1 (Retroviridae); Homo
sapiens (Hominidae)",Antiviral,45
935,Zalig RV-11,ND,Saccharopolyspora erythraea (Pseudonocardiaceae),Antibacterial,45
936,Ziagen,S*,"Human immunodeficiency virus 1 (Retroviridae); Homo
sapiens (Hominidae)",Antiviral,45
937,Zidovudine,S*,"Human immunodeficiency virus 1 (Retroviridae); Tethya
(Tethyidae)",Antiviral,45
938,Zienam,ND,Streptomyces cattleya (Streptomycetaceae),Antibacterial,46
939,Zinc hyaluronate,ND,Homo sapiens (Hominidae),Vulnerary,46
940,"Zinostatin
stimalamer",ND,Streptomyces carzinostaticus (Streptomycetaceae),Oncological disease,46
941,Zobactin,ND,"Aspergillus flavus (Trichocomaceae); Emericella nidulans
(Trichocomaceae); Penicillium chrysogenum
(Trichocomaceae)",Antibacterial,46
942,Zomacton,B,Homo sapiens (Hominidae),Hormone,46
943,Zotarolimus,ND,Streptomyces hygroscopicus (Streptomycetaceae),Oncological disease,46
