original_name,gbif_id,gbif_accepted_id,gbif_accepted_name,kingdom,genus,species,gbif_key,family
Aglaia odoratissima,5597346,,Aglaia odoratissima Blume,Plantae,Aglaia,Aglaia odoratissima,5597346,Meliaceae
Amomyrtus luma,3186044,,Amomyrtus luma (Molina) D.Legrand & Kausel,Plantae,Amomyrtus,Amomyrtus luma,3186044,Myrtaceae
Artabotrys stenopetalus,3154879,,Artabotrys stenopetalus Engl.,Plantae,Artabotrys,Artabotrys stenopetalus,3154879,Annonaceae
Cheilolejeunea trifaria,7658524,,"Cheilolejeunea trifaria (Reinw., Blume & Nees) Mizut.",Plantae,Cheilolejeunea,Cheilolejeunea trifaria,7658524,Lejeuneaceae
Coreopsis senaria,3133866,,Coreopsis senaria S.F.Blake & Sherff,Plantae,Coreopsis,Coreopsis senaria,3133866,Asteraceae
Euodia hortensis,5594509,,Euodia hortensis Forst.,Plantae,Euodia,Euodia hortensis,5594509,Rutaceae
Geigeria odontoptera,3119874,,Geigeria odontoptera O.Hoffm.,Plantae,Geigeria,Geigeria odontoptera,3119874,Asteraceae
Helichrysum subglomeratum,3132040,,Helichrysum subglomeratum Less.,Plantae,Helichrysum,Helichrysum subglomeratum,3132040,Asteraceae
Hypericum foliosum,8027347,,Hypericum foliosum Dryand. ex Aiton,Plantae,Hypericum,Hypericum foliosum,8027347,Hypericaceae
Osteospermum auriculatum,3126615,,Osteospermum auriculatum (S.Moore) Norl.,Plantae,Osteospermum,Osteospermum auriculatum,3126615,Asteraceae
Phlomis olivieri,3886963,,Phlomis olivieri Benth.,Plantae,Phlomis,Phlomis olivieri,3886963,Lamiaceae
Piper lamarckianum,11193611,4191512,Piper lamarckianum P.K.Mukh.,Plantae,Piper,Piper fallax,4191512,Piperaceae
Rhododendron augustinii,7328064,,Rhododendron augustinii Hemsl.,Plantae,Rhododendron,Rhododendron augustinii,7328064,Ericaceae
Rhododendron rubiginosum,7327799,,Rhododendron rubiginosum Franch.,Plantae,Rhododendron,Rhododendron rubiginosum,7327799,Ericaceae
Rhododendron triflorum,7328965,,Rhododendron triflorum Hook.fil.,Plantae,Rhododendron,Rhododendron triflorum,7328965,Ericaceae
Senecio oerstedianus,3108418,,Senecio oerstedianus Benth.,Plantae,Senecio,Senecio oerstedianus,3108418,Asteraceae
Senecio zapahuirensis,3107164,,Senecio zapahuirensis Martic. & Quezada,Plantae,Senecio,Senecio zapahuirensis,3107164,Asteraceae
Stachys balansae,7306824,,Stachys balansae Boiss. & Kotschy,Plantae,Stachys,Stachys balansae,7306824,Lamiaceae
Arisaema heterophyllum,2867360,,Arisaema heterophyllum Blume,Plantae,Arisaema,Arisaema heterophyllum,2867360,Araceae
Championella japonica,5574348,3769041,Championella japonica (Thunb.) Bremek.,Plantae,Strobilanthes,Strobilanthes japonica,3769041,Acanthaceae
Fritillaria walujewii,5300642,,Fritillaria walujewii Regel,Plantae,Fritillaria,Fritillaria walujewii,5300642,Liliaceae
Fritillaria yuminensis,5300576,,Fritillaria yuminensis X.Z.Duan,Plantae,Fritillaria,Fritillaria yuminensis,5300576,Liliaceae
Gnaphalium polycaulon,5390831,,Gnaphalium polycaulon Pers.,Plantae,Gnaphalium,Gnaphalium polycaulon,5390831,Asteraceae
Martynia louisiana,3172644,7226243,Martynia louisiana Mill.,Plantae,Proboscidea,Proboscidea louisianica,7226243,Martyniaceae
Salacia fruticosa,7779185,,Salacia fruticosa B.Heyne ex M.A.Lawson,Plantae,Salacia,Salacia fruticosa,7779185,Celastraceae
Vetiveria zizanioides,7352653,,"Vetiveria zizanioides Stapf, 1906",Plantae,Vetiveria,Vetiveria zizanioides,7352653,Poaceae
Ammothamnus songoricus,2958961,2958960,Ammothamnus songoricus (Schrenk) Lipsky ex Pavlov,Plantae,Sophora,Sophora songorica,2958960,Fabaceae
Calycadenia,3092995,,Calycadenia DC.,Plantae,Calycadenia,spp.,3092995,Asteraceae
Helianthus strumosus,3119211,,Helianthus strumosus L.,Plantae,Helianthus,Helianthus strumosus,3119211,Asteraceae
Iva acerosa,5401781,5401782,Iva acerosa (Nutt.) R.C.Jacks.,Plantae,Euphrosyne,Euphrosyne acerosa,5401782,Asteraceae
Amorphophallus eichleri,2871660,,Amorphophallus eichleri (Engl.) Hook.f.,Plantae,Amorphophallus,Amorphophallus eichleri,2871660,Araceae
Allium giganteum,2857111,,Allium giganteum Regel,Plantae,Allium,Allium giganteum,2857111,Amaryllidaceae
Calpurnia aurea,2956417,,Calpurnia aurea (Aiton) Benth.,Plantae,Calpurnia,Calpurnia aurea,2956417,Fabaceae
Commiphora gileadensis,3993077,,Commiphora gileadensis (L.) C.Chr.,Plantae,Commiphora,Commiphora gileadensis,3993077,Burseraceae
