original_name,gbif_id,gbif_accepted_id,gbif_accepted_name,kingdom,genus,species,gbif_key,family
Pera benensis,5614967,,Pera benensis Rusby,Plantae,Pera,Pera benensis,5614967,Peraceae
Perezia carthamoides,5391427,,Perezia carthamoides (D.Don) Hook. & Arn.,Plantae,Perezia,Perezia carthamoides,5391427,Asteraceae
Perezia linearis,5391366,,Perezia linearis Less.,Plantae,Perezia,Perezia linearis,5391366,Asteraceae
Perezia lyrata,8356588,,Perezia lyrata (J.Rémy) Wedd.,Plantae,Perezia,Perezia lyrata,8356588,Asteraceae
Perezia megalantha,5391377,,Perezia megalantha Speg.,Plantae,Perezia,Perezia megalantha,5391377,Asteraceae
Perezia nutans,5391389,,Perezia nutans Less.,Plantae,Perezia,Perezia nutans,5391389,Asteraceae
Periploca aphylla,7707846,,Periploca aphylla Decne.,Plantae,Periploca,Periploca aphylla,7707846,Apocynaceae
Petasites tricholobus,3088318,,Petasites tricholobus Franch.,Plantae,Petasites,Petasites tricholobus,3088318,Asteraceae
Phebalium whitei,3832008,,Phebalium whitei Paul G.Wilson,Plantae,Phebalium,Phebalium whitei,3832008,Rutaceae
Philenoptera cyanescens,2944764,,Philenoptera cyanescens (Schumach. & Thonn.) Roberty,Plantae,Philenoptera,Philenoptera cyanescens,2944764,Fabaceae
Philodendron radiatum,2870769,,Philodendron radiatum Schott,Plantae,Philodendron,Philodendron radiatum,2870769,Araceae
Phoebe chekiangensis,7786435,,Phoebe chekiangensis C.B.Shang,Plantae,Phoebe,Phoebe chekiangensis,7786435,Lauraceae
Phoradendron reichenbachianum,4068373,,Phoradendron reichenbachianum (Seem.) Oliv.,Plantae,Phoradendron,Phoradendron reichenbachianum,4068373,Viscaceae
Phyllanthus flexuosus,5381881,,Phyllanthus flexuosus (Siebold & Zucc.) Müll.Arg.,Plantae,Phyllanthus,Phyllanthus flexuosus,5381881,Phyllanthaceae
Phyllanthus oxyphyllus,5381418,,Phyllanthus oxyphyllus Miq.,Plantae,Phyllanthus,Phyllanthus oxyphyllus,5381418,Phyllanthaceae
Picea breweriana,5284955,,Picea breweriana S.Watson,Plantae,Picea,Picea breweriana,5284955,Pinaceae
Picramnia teapensis,3709148,,Picramnia teapensis Tul.,Plantae,Picramnia,Picramnia teapensis,3709148,Picramniaceae
Picris cyanocarpa,3093349,,Picris cyanocarpa Boiss.,Plantae,Picris,Picris cyanocarpa,3093349,Asteraceae
Pinus montezumae,5285261,,Pinus montezumae Lamb.,Plantae,Pinus,Pinus montezumae,5285261,Pinaceae
Piptolepis ericoides,5387929,,Piptolepis ericoides (Less.) Sch.Bip.,Plantae,Piptolepis,Piptolepis ericoides,5387929,Asteraceae
Pleiospermium alatum,3836714,,Pleiospermium alatum (Wight & Arn.) Swingle,Plantae,Pleiospermium,Pleiospermium alatum,3836714,Rutaceae
Plumbago pulchella,5668163,,Plumbago pulchella Boiss.,Plantae,Plumbago,Plumbago pulchella,5668163,Plumbaginaceae
Pogonolepis muelleriana,3097461,,Pogonolepis muelleriana (Sond.) P.S.Short,Plantae,Pogonolepis,Pogonolepis muelleriana,3097461,Asteraceae
Polyachyrus fuscus,3099153,,Polyachyrus fuscus (Meyen) Walp.,Plantae,Polyachyrus,Polyachyrus fuscus,3099153,Asteraceae
Polygala ruwenzoriensis,4049662,,Polygala ruwenzoriensis Chodat,Plantae,Polygala,Polygala ruwenzoriensis,4049662,Polygalaceae
Proteopsis argentea,8261829,,Proteopsis argentea Mart. & Zucc. ex Sch.Bip.,Plantae,Proteopsis,Proteopsis argentea,8261829,Asteraceae
Pteleopsis hylodendron,3698914,9303152,Pteleopsis hylodendron Mildbr.,Plantae,Terminalia,Terminalia hylodendron,9303152,Combretaceae
Pterocarpus marsupium,5349309,,Pterocarpus marsupium Roxb.,Plantae,Pterocarpus,Pterocarpus marsupium,5349309,Fabaceae
Ptilostemon gnaphaloides,8279446,,Ptilostemon gnaphaloides (Cirillo) Soják,Plantae,Ptilostemon,Ptilostemon gnaphaloides,8279446,Asteraceae
Pueraria montana var. lobata,2977647,,Pueraria montana var. lobata (Willd.) Maesen & S.M.Almeida ex Sanjappa & Predeep,Plantae,Pueraria,Pueraria montana,2977647,Fabaceae
Pulicaria angustifolia,3095537,,Pulicaria angustifolia DC.,Plantae,Pulicaria,Pulicaria angustifolia,3095537,Asteraceae
Quercus incana,2878060,,Quercus incana W.Bartram,Plantae,Quercus,Quercus incana,2878060,Fagaceae
Quercus leucotrichophora,2878058,,Quercus leucotrichophora A.Camus,Plantae,Quercus,Quercus leucotrichophora,2878058,Fagaceae
Radula complanata,5286325,,Radula complanata (L.) Dumort.,Plantae,Radula,Radula complanata,5286325,Radulaceae
Raputia simulans,3834169,3834251,Raputia simulans Kallunki,Plantae,Raputia,Raputia megalantha,3834251,Rutaceae
Rauvolfia mattfeldiana,3617521,,Rauvolfia mattfeldiana Markgr.,Plantae,Rauvolfia,Rauvolfia mattfeldiana,3617521,Apocynaceae
Rhamnus wightii,3877053,,Rhamnus wightii Wight & Arn.,Plantae,Rhamnus,Rhamnus wightii,3877053,Rhamnaceae
Rheum palaestinum,4037660,,Rheum palaestinum Feinbrun,Plantae,Rheum,Rheum palaestinum,4037660,Polygonaceae
Ricinodendron heudelotii,3071632,,Ricinodendron heudelotii (Baill.) Heckel,Plantae,Ricinodendron,Ricinodendron heudelotii,3071632,Euphorbiaceae
Rudbeckia sp.,3114220,,Rudbeckia L.,Plantae,Rudbeckia,spp.,3114220,Asteraceae
Rumex nepalensis,7291884,,Rumex nepalensis Spreng.,Plantae,Rumex,Rumex nepalensis,7291884,Polygonaceae
Russelia equisetiformis,5414601,,Russelia equisetiformis Schltdl. & Cham.,Plantae,Russelia,Russelia equisetiformis,5414601,Plantaginaceae
Salvia palaefolia,3893315,,"Salvia palaefolia Kunth, 1818",Plantae,Salvia,Salvia palaefolia,3893315,Lamiaceae
Salvia pinnata,3892031,,Salvia pinnata L.,Plantae,Salvia,Salvia pinnata,3892031,Lamiaceae
Santiria trimera,3993826,3993040,Santiria trimera (Oliv.) Aubrév.,Plantae,Pachylobus,Pachylobus trimerus,3993040,Burseraceae
Sapium rigidifolium,5379894,,Sapium rigidifolium Huft,Plantae,Sapium,Sapium rigidifolium,5379894,Euphorbiaceae
Schultesia guianensis,7269968,,Schultesia guianensis (Aubl.) Malme,Plantae,Schultesia,Schultesia guianensis,7269968,Gentianaceae
Scilla kraussii,2768145,10921006,Scilla kraussii Baker,Plantae,Merwilla,Merwilla plumbea,10921006,Asparagaceae
Scutellaria racemosa,5341322,,Scutellaria racemosa Pers.,Plantae,Scutellaria,Scutellaria racemosa,5341322,Lamiaceae
Senecio chionophilus,3107040,,Senecio chionophilus Phil.,Plantae,Senecio,Senecio chionophilus,3107040,Asteraceae
Senecio glastifolius,8419686,,Senecio glastifolius L.fil.,Plantae,Senecio,Senecio glastifolius,8419686,Asteraceae
Senegalia gaumeri,3796135,,Senegalia gaumeri (S.F.Blake) Britton & Rose,Plantae,Senegalia,Senegalia gaumeri,3796135,Fabaceae
Shorea sp.,10803341,,Shorea Roxb.,Plantae,Shorea,spp.,10803341,Dipterocarpaceae
Sideritis argosphacelus var. spicata,8012413,3891717,Sideritis argosphacelus var. spicata (Pit.) Bornm.,Plantae,Sideritis,Sideritis cretica,3891717,Lamiaceae
Sideritis candicans var.eriocephala,7847473,7307394,Sideritis candicans var. eriocephala Ceballos & Ortuño,Plantae,Sideritis,Sideritis soluta,7307394,Lamiaceae
Smythea bombaiensis,3875198,,Smythea bombaiensis (Dalzell) S.P.Banerjee & P.K.Mukh.,Plantae,Smythea,Smythea bombaiensis,3875198,Rhamnaceae
Sophora subprostrata,2958967,7067758,Sophora subprostrata Chun & H.Y.Chen,Plantae,Sophora,Sophora tonkinensis,7067758,Fabaceae
Sophora substrata,2958901,,Sophora L.,Plantae,Sophora,spp.,2958901,Fabaceae
Sorbus commixta,3012906,,Sorbus commixta Hedl.,Plantae,Sorbus,Sorbus commixta,3012906,Rosaceae
Sphagnum rubellum,2668995,,Sphagnum rubellum Wilson,Plantae,Sphagnum,Sphagnum rubellum,2668995,Sphagnaceae
Spirostachys africana,5378880,,Spirostachys africana Sond.,Plantae,Spirostachys,Spirostachys africana,5378880,Euphorbiaceae
Spirotropis longifolia,5354899,,Spirotropis longifolia (DC.) Baill.,Plantae,Spirotropis,Spirotropis longifolia,5354899,Fabaceae
Stemona saxorum,2863330,2863329,Stemona saxorum Gagnep.,Plantae,Stemona,Stemona kerrii,2863329,Stemonaceae
Stenocereus beneckei,7284752,,Stenocereus beneckei (C.Ehrenb.) A.Berger & Buxb.,Plantae,Stenocereus,Stenocereus beneckei,7284752,Cactaceae
Stevia jujuyensis,3125654,,Stevia jujuyensis Cabrera,Plantae,Stevia,Stevia jujuyensis,3125654,Asteraceae
Stevia seleriana,3125756,,Stevia seleriana B.L.Rob.,Plantae,Stevia,Stevia seleriana,3125756,Asteraceae
Stevia serrata,3125749,,Stevia serrata Cav.,Plantae,Stevia,Stevia serrata,3125749,Asteraceae
Syzygium jambos,3183534,,Syzygium jambos (L.) Alston,Plantae,Syzygium,Syzygium jambos,3183534,Myrtaceae
Tabernaemontana cymosa,3617922,,Tabernaemontana cymosa Jacq.,Plantae,Tabernaemontana,Tabernaemontana cymosa,3617922,Apocynaceae
Tabernaemontana heterophylla,8036286,,Tabernaemontana heterophylla Vahl,Plantae,Tabernaemontana,Tabernaemontana heterophylla,8036286,Apocynaceae
Tanaecium pyramidatum,7933875,,Tanaecium pyramidatum (Rich.) L.G.Lohmann,Plantae,Tanaecium,Tanaecium pyramidatum,7933875,Bignoniaceae
Thermopsis montana,8069977,,Thermopsis montana Nutt.,Plantae,Thermopsis,Thermopsis montana,8069977,Fabaceae
Thesium humile,6037999,,Thesium humile Vahl,Plantae,Thesium,Thesium humile,6037999,Thesiaceae
Tichocarpus crinitus,2667542,,"Tichocarpus Ruprecht, 1850",Plantae,Tichocarpus,spp.,2667542,Tichocarpaceae
Tilia vulgaris,3152045,3152046,Tilia × vulgaris Hill,Plantae,Tilia,Tilia europaea,3152046,Malvaceae
Torenia anagallis,10975167,,"Torenia anagallis (Burm.fil.) Wannan, W.R.Barker & Y.S.Liang",Plantae,Torenia,Torenia anagallis,10975167,Linderniaceae
Tricalysia okelensis,2900597,,Tricalysia okelensis Hiern,Plantae,Tricalysia,Tricalysia okelensis,2900597,Rubiaceae
Triclisia subcordata,3829770,,Triclisia subcordata Oliv.,Plantae,Triclisia,Triclisia subcordata,3829770,Menispermaceae
Trifolium alpestre,5359499,,Trifolium alpestre L.,Plantae,Trifolium,Trifolium alpestre,5359499,Fabaceae
Turraeanthus africanus,4934740,,Turraeanthus africanus (Welw. ex C.DC.) Pellegr.,Plantae,Turraeanthus,Turraeanthus africanus,4934740,Meliaceae
Urmenetea atacamensis,3149120,,Urmenetea atacamensis Phil.,Plantae,Urmenetea,Urmenetea atacamensis,3149120,Asteraceae
Ursinia cakilefolia,3089072,,Ursinia cakilefolia DC.,Plantae,Ursinia,Ursinia cakilefolia,3089072,Asteraceae
Ursinia saxatilis,3089039,,Ursinia saxatilis N.E.Br.,Plantae,Ursinia,Ursinia saxatilis,3089039,Asteraceae
Vellozia pusilla,2863593,,Vellozia pusilla Pohl,Plantae,Vellozia,Vellozia pusilla,2863593,Velloziaceae
Vepris grandifolia,3834455,,Vepris grandifolia (Engl.) Mziray,Plantae,Vepris,Vepris grandifolia,3834455,Rutaceae
Vepris louisii,3834375,,Vepris louisii G.C.C.Gilbert,Plantae,Vepris,Vepris louisii,3834375,Rutaceae
Verbesina boliviana,3147800,,Verbesina boliviana Klatt,Plantae,Verbesina,Verbesina boliviana,3147800,Asteraceae
Vernonanthura brasiliana,3124152,,Vernonanthura brasiliana (L.) H.Rob.,Plantae,Vernonanthura,Vernonanthura brasiliana,3124152,Asteraceae
Vernonanthura nudiflora,3110446,,Vernonanthura nudiflora (Less.) H.Rob.,Plantae,Vernonanthura,Vernonanthura nudiflora,3110446,Asteraceae
Vernonia elaeagnifolia,5396734,4219232,Vernonia elaeagnifolia DC.,Plantae,Tarlmounia,Tarlmounia elliptica,4219232,Asteraceae
Vernonia potamophila,5397327,,Vernonia potamophila Baker,Plantae,Vernonia,Vernonia potamophila,5397327,Asteraceae
Vernonia tufnellae,5700630,7886379,Vernonia tufnellae S.Moore,Plantae,Distephanus,Distephanus biafrae,7886379,Asteraceae
Veronica cupressoides,3732371,,Veronica cupressoides Hook.fil.,Plantae,Veronica,Veronica cupressoides,3732371,Plantaginaceae
Veronica kellereri,3730303,9490608,Veronica kellereri Degen & Urum.,Plantae,Veronica,Veronica saturejoides,9490608,Plantaginaceae
Virola elongata,7171876,,Virola elongata (Benth.) Warb.,Plantae,Virola,Virola elongata,7171876,Myristicaceae
Vitis betulifolia,5658811,,Vitis betulifolia Diels & Gilg,Plantae,Vitis,Vitis betulifolia,5658811,Vitaceae
Witheringia solanacea,8625966,,Witheringia solanacea L'Hér.,Plantae,Witheringia,Witheringia solanacea,8625966,Solanaceae
Zanthoxylum capense,3832553,,Zanthoxylum capense (Thunb.) Harv.,Plantae,Zanthoxylum,Zanthoxylum capense,3832553,Rutaceae
Zanthoxylum culantrillo,7268922,7915628,Zanthoxylum culantrilo Kunth,Plantae,Zanthoxylum,Zanthoxylum fagara,7915628,Rutaceae
Zanthoxylum dimorphophyllum,7268901,,Zanthoxylum dimorphophyllum Hemsl.,Plantae,Zanthoxylum,Zanthoxylum dimorphophyllum,7268901,Rutaceae
Zanthoxylum dipetalum,3190094,,Zanthoxylum dipetalum H.Mann,Plantae,Zanthoxylum,Zanthoxylum dipetalum,3190094,Rutaceae
Zanthoxylum martinicense,3190119,,Zanthoxylum martinicense (Lam.) DC.,Plantae,Zanthoxylum,Zanthoxylum martinicense,3190119,Rutaceae
Zanthoxylum rigidum,7269206,,Zanthoxylum rigidum Humb. & Bonpl. ex Willd.,Plantae,Zanthoxylum,Zanthoxylum rigidum,7269206,Rutaceae
Zanthoxylum sarasinii,3834438,,Zanthoxylum sarasinii Guillaumin,Plantae,Zanthoxylum,Zanthoxylum sarasinii,3834438,Rutaceae
Zanthoxylum setulosum,3834280,,Zanthoxylum setulosum P.Wilson,Plantae,Zanthoxylum,Zanthoxylum setulosum,3834280,Rutaceae
Zanthoxylum sprucei,3834097,,Zanthoxylum sprucei Engl.,Plantae,Zanthoxylum,Zanthoxylum sprucei,3834097,Rutaceae
voacanga globosa,3615974,,Voacanga globosa (Blanco) Merr.,Plantae,Voacanga,Voacanga globosa,3615974,Apocynaceae
Artabotrys modestus ssp. modestus,7320083,,Artabotrys modestus subsp. modestus,Plantae,Artabotrys,Artabotrys modestus,7320083,Annonaceae
Acer palmatum,3189882,,Acer palmatum Thunb.,Plantae,Acer,Acer palmatum,3189882,Sapindaceae
Acrosorium ciliolatum,2662395,,Acrosorium ciliolatum (Harv.) Kylin,Plantae,Acrosorium,Acrosorium ciliolatum,2662395,Delesseriaceae
Aegagrophila linnaei,5272847,,Aegagropila linnaei Kützing,Plantae,Aegagropila,Aegagropila linnaei,5272847,Cladophoraceae
Ageratum corymbosum,8026613,,Ageratum corymbosum Zucc.,Plantae,Ageratum,Ageratum corymbosum,8026613,Asteraceae
Ankistrodesmus spp.,9516573,,"Ankistrodesmus Corda, 1838",Plantae,Ankistrodesmus,spp.,9516573,Selenastraceae
Antithamnion plumula,8258594,,Antithamnion plumula Ellis,Plantae,Antithamnion,Antithamnion plumula,8258594,Ceramiaceae
Asparagus Officinalis,2768348,,Asparagus,Plantae,Asparagus,spp.,2768348,Liliaceae
Asplenium sulcatum,7423397,,Asplenium × sulcatum Lam.,Plantae,Asplenium,Asplenium sulcatum,7423397,Aspleniaceae
Asplenium trichomanes,8108066,,Asplenium trichomanes L.,Plantae,Asplenium,Asplenium trichomanes,8108066,Aspleniaceae
Asterocolax gardner,2661659,,"Asterocolax gardneri (Setchell) Feldmann & G.Feldmann, 1958",Plantae,Asterocolax,Asterocolax gardneri,2661659,Delesseriaceae
Athyrium filix-femina,5275044,,Athyrium filix-femina (L.) Roth,Plantae,Athyrium,Athyrium filix-femina,5275044,Athyriaceae
Averrhoa carambola,2891641,,Averrhoa carambola L.,Plantae,Averrhoa,Averrhoa carambola,2891641,Oxalidaceae
Bangia alropurpurea,2653778,,Bangia atropurpurea (Mertens ex Roth) C.Agardh,Plantae,Bangia,Bangia atropurpurea,2653778,Bangiaceae
Bangia fuscopurpurea,2653782,,Bangia fuscopurpurea (Dillwyn) Lyngbye,Plantae,Bangia,Bangia fuscopurpurea,2653782,Bangiaceae
Barringtonia asiatica,3082920,,Barringtonia asiatica (L.) Kurz,Plantae,Barringtonia,Barringtonia asiatica,3082920,Lecythidaceae
Basicladia sp.,2644503,,"Basicladia W.E.Hoffmann & J.E.Tilden, 1930",Plantae,Basicladia,spp.,2644503,Cladophoraceae
Blechnum occidentale,2651529,,Blechnum occidentale L.,Plantae,Blechnum,Blechnum occidentale,2651529,Blechnaceae
Blechnum spicant,7296752,,Struthiopteris Scop.,Plantae,Struthiopteris,spp.,7296752,Blechnaceae
Bonnemaisonia hamifera,2668884,,Bonnemaisonia hamifera Hariot,Plantae,Bonnemaisonia,Bonnemaisonia hamifera,2668884,Bonnemaisoniaceae
Botryococcus braunii,2642020,,"Botryococcus braunii Kütz., 1849",Plantae,Botryococcus,Botryococcus braunii,2642020,Botryococcaceae
Callophyllis pinnata,2666643,,"Callophyllis pinnata Setchell & Swezy, 1923",Plantae,Callophyllis,Callophyllis pinnata,2666643,Kallymeniaceae
Celastrus orbiculatus,3169169,,Celastrus orbiculatus Thunb.,Plantae,Celastrus,Celastrus orbiculatus,3169169,Celastraceae
Centroceras clavulatum,5276780,,Centroceras clavulatum (C.Agardh) Mont.,Plantae,Centroceras,Centroceras clavulatum,5276780,Ceramiaceae
Chaetomorpha crassa,2644602,2644592,Chaetomorpha crassa (C.Agardh) Kütz.,Plantae,Chaetomorpha,Chaetomorpha linum,2644592,Cladophoraceae
Chaetomorpha okamurae,7834840,7909434,"Chaetomorpha okamurae S.Ueda, 1932",Plantae,Basicladia,Basicladia okamurae,7909434,Cladophoraceae
Chara aspera,5270674,,Chara aspera Willd.,Plantae,Chara,Chara aspera,5270674,Characeae
Chara contraria,5270698,,Chara contraria Kütz.,Plantae,Chara,Chara contraria,5270698,Characeae
Chara foetida,5270707,8405500,Chara foetida A.Braun,Plantae,Chara,Chara vulgaris,8405500,Characeae
Chara globularis,5270780,,Chara globularis Thuill.,Plantae,Chara,Chara globularis,5270780,Characeae
Chara gymnophylla,8126062,7229784,Chara gymnophylla A.Braun,Plantae,Chara,Chara vulgaris,7229784,Characeae
Chara hispida,5270814,,Chara hispida L.,Plantae,Chara,Chara hispida,5270814,Characeae
Chara intermedia,7743687,,Chara intermedia R.Braun,Plantae,Chara,Chara intermedia,7743687,Characeae
Chara polyacantha,5270797,7603223,Chara polyacantha A.Braun,Plantae,Chara,Chara aculeolata,7603223,Characeae
Chara rudis,5270845,10830689,Chara rudis Leonh.,Plantae,Chara,Chara subspinosa,10830689,Characeae
Chloroidium saccharophilum,7356384,,Chloroidium saccharophilum (W.Krüger) Darienko et al.,Plantae,Chloroidium,Chloroidium saccharophilum,7356384,Oocystaceae
Chondracanthus canaliculatus,5279152,,"Chondracanthus canaliculatus (Harvey) Guiry, 1993",Plantae,Chondracanthus,Chondracanthus canaliculatus,5279152,Gigartinaceae
Chondracanthus corymbiferus,5279167,,"Chondracanthus corymbiferus (Kützing) Guiry, 1993",Plantae,Chondracanthus,Chondracanthus corymbiferus,5279167,Gigartinaceae
Chondracanthus exasperatus,5279162,,Chondracanthus exasperatus,Plantae,Chondracanthus,Chondracanthus exasperatus,5279162,Gigartinaceae
Chondracanthus harveyanus,5279142,,"Chondracanthus harveyanus (Kützing) Guiry, 1993",Plantae,Chondracanthus,Chondracanthus harveyanus,5279142,Gigartinaceae
Chondracanthus squarrulosus,5279156,,"Chondracanthus squarrulosus (Setchell & N.L.Gardner) Hughey, P.C.Silva & Hommersand, 2001",Plantae,Chondracanthus,Chondracanthus squarrulosus,5279156,Gigartinaceae
Cladophora albida,5272397,,Cladophora albida (Nees) Kütz.,Plantae,Cladophora,Cladophora albida,5272397,Cladophoraceae
Cladophora coelothrix,5272740,,Cladophora coelothrix Kütz.,Plantae,Cladophora,Cladophora coelothrix,5272740,Cladophoraceae
Cladophora glomerata,5272770,,Cladophora glomerata (L.) Kütz.,Plantae,Cladophora,Cladophora glomerata,5272770,Cladophoraceae
Cladophora kosterae,5272562,,Cladophora kosterae C.Hoek,Plantae,Cladophora,Cladophora kosterae,5272562,Cladophoraceae
Cladophora ohkuboana,5272635,12237739,"Cladophora ohkuboana Holmes, 1896",Plantae,Lychaete,Lychaete ohkuboana,12237739,Cladophoraceae
Cladophora pellucida,5272918,11040384,Cladophora pellucida (Hudson) Kützing,Plantae,Lychaete,Lychaete pellucida,11040384,Cladophoraceae
Cladophora sericea,5272338,,Cladophora sericea (Huds.) Kütz.,Plantae,Cladophora,Cladophora sericea,5272338,Cladophoraceae
Cladophoropsis fasciculatus,6136228,,"Cladophoropsis fasciculatus (Kjellman) Wille, 1910",Plantae,Cladophoropsis,Cladophoropsis fasciculatus,6136228,Boodleaceae
Cladophoropsis membranacea,2644890,,Cladophoropsis membranacea (Bang ex C.Agardh) Børgesen,Plantae,Cladophoropsis,Cladophoropsis membranacea,2644890,Boodleaceae
Cladophoropsis vaucheriaeformis,2644872,2644871,"Cladophoropsis vaucheriaeformis (Aresch.) Papenf., 1958",Plantae,Spongocladia,Spongocladia vaucheriaeformis,2644871,Boodleaceae
Coelastrum proboscideum,2640976,,Coelastrum proboscideum Bohlin,Plantae,Coelastrum,Coelastrum proboscideum,2640976,Scenedesmaceae
Colchicum luteum Baker.,2739712,,Colchicum luteum Baker,Plantae,Colchicum,Colchicum luteum,2739712,Colchicaceae
Corallorhiza trifida,2797313,,Corallorhiza trifida Châtel.,Plantae,Corallorhiza,Corallorhiza trifida,2797313,Orchidaceae
Cryptopleura lobulifera,5278337,,Cryptopleura lobulifera,Plantae,Cryptopleura,Cryptopleura lobulifera,5278337,Delesseriaceae
Cyclosorus parasiticus,4082562,4083193,Cyclosorus parasiticus (L.) Farw.,Plantae,Christella,Christella parasitica,4083193,Thelypteridaceae
Cystopteris bulbifera,2650799,,Cystopteris bulbifera (L.) Bernh.,Plantae,Cystopteris,Cystopteris bulbifera,2650799,Cystopteridaceae
Cystopteris fragilis,2650818,,Cystopteris fragilis (L.) Bernh.,Plantae,Cystopteris,Cystopteris fragilis,2650818,Cystopteridaceae
Cystopteris sudetica,4016963,,Cystopteris sudetica A.Braun & Milde,Plantae,Cystopteris,Cystopteris sudetica,4016963,Cystopteridaceae
Desmodesmus abundans,2652492,,Desmodesmus abundans (Kirchn.) E.Hegewald,Plantae,Desmodesmus,Desmodesmus abundans,2652492,Scenedesmaceae
Diphasiastrum tristachyum,2688412,,Diphasiastrum tristachyum (Pursh) Holub,Plantae,Diphasiastrum,Diphasiastrum tristachyum,2688412,Lycopodiaceae
Dorstenia poinsettifolia,7515664,,Dorstenia poinsettifolia Engl.,Plantae,Dorstenia,Dorstenia poinsettifolia,7515664,Moraceae
Dryopteris affinis,8915858,,Dryopteris affinis (Lowe) Fraser-Jenk.,Plantae,Dryopteris,Dryopteris affinis,8915858,Dryopteridaceae
Dryopteris borreri,7506120,,Dryopteris borreri (Newman) Oberh. & Tavel,Plantae,Dryopteris,Dryopteris borreri,7506120,Dryopteridaceae
Dryopteris paleacea,10695980,,"Dryopteris paleacea (Sw.) B.L.Rob., 1912",Plantae,Dryopteris,Dryopteris paleacea,10695980,Dryopteridaceae
Dryopteris parasitica,8397941,,"Dryopteris parasitica (L.) O.Ktze. & C.Chr., 1910",Plantae,Dryopteris,Dryopteris parasitica,8397941,Dryopteridaceae
Dryopteris wallichiana,5275137,,Dryopteris wallichiana (Spreng.) Hyl.,Plantae,Dryopteris,Dryopteris wallichiana,5275137,Dryopteridaceae
Dunaliella salina,2687984,,"Dunaliella salina (Dunal) Teodoresco, 1905",Plantae,Dunaliella,Dunaliella salina,2687984,Dunaliellaceae
Epipogium aphyllum,2849252,,Epipogium aphyllum Sw.,Plantae,Epipogium,Epipogium aphyllum,2849252,Orchidaceae
Equisetum fluviatile,2687937,,Equisetum fluviatile L.,Plantae,Equisetum,Equisetum fluviatile,2687937,Equisetaceae
Equisetum palustre,2687932,,Equisetum palustre L.,Plantae,Equisetum,Equisetum palustre,2687932,Equisetaceae
Equisetum pratense,2687942,,Equisetum pratense Ehrh.,Plantae,Equisetum,Equisetum pratense,2687942,Equisetaceae
Equisetum sylvaticum,2687929,,Equisetum sylvaticum L.,Plantae,Equisetum,Equisetum sylvaticum,2687929,Equisetaceae
Ettlia carotinosa,9811491,,"Ettlia J.Komárek, 1989",Plantae,Ettlia,spp.,9811491,
Eucheuma uncinatum,2668102,,"Eucheuma J.Agardh, 1847",Plantae,Eucheuma,spp.,2668102,Solieriaceae
Evolvulus nummularius,2928680,,Evolvulus nummularius (L.) L.,Plantae,Evolvulus,Evolvulus nummularius,2928680,Convolvulaceae
Fauchea galapagensis,2663623,,Fauchea galapagensis,Plantae,Gloiocladia,Fauchea galapagensis,2663623,Faucheaceae
Fontinalis antipyretica,2673408,,Fontinalis antipyretica Hedw.,Plantae,Fontinalis,Fontinalis antipyretica,2673408,Fontinalaceae
Gelidium coulteri,2662781,,Gelidium coulteri Harv.,Plantae,Gelidium,Gelidium coulteri,2662781,Gelidiaceae
Gelidium johnstonii,2662789,,Gelidium johnstonii Setch. & N.L.Gardner,Plantae,Gelidium,Gelidium johnstonii,2662789,Gelidiaceae
Gelidium pusillum,2662756,,Gelidium pusillum (Stackhouse) Le Jolis,Plantae,Gelidium,Gelidium pusillum,2662756,Gelidiaceae
Gelidium robustum,7666577,,Gelidium robustum Gardn.,Plantae,Gelidium,Gelidium robustum,7666577,Gelidiaceae
Gigartina stellata,2667297,2667288,Gigartina stellata (Stackhouse) Batters,Plantae,Mastocarpus,Mastocarpus stellatus,2667288,Phyllophoraceae
Grateloupia setchelii,5276673,,Grateloupia setchellii,Plantae,Gaillona,Grateloupia setchellii,5276673,Callithamniaceae
Gymnocarpium dryopteris,2650832,,Gymnocarpium dryopteris (L.) Newman,Plantae,Gymnocarpium,Gymnocarpium dryopteris,2650832,Cystopteridaceae
Halymenia hollenbergii,2656352,,Halymenia hollenbergii,Plantae,Halymenia,Halymenia hollenbergii,2656352,Halymeniaceae
Impatiens noli-tangere,2891779,,Impatiens noli-tangere L.,Plantae,Impatiens,Impatiens noli-tangere,2891779,Balsaminaceae
Laurencia gardneri,2661004,,Laurencia gardneri,Plantae,Laurencia,Laurencia gardneri,2661004,Rhodomelaceae
Lemna aequinoctialis,2867616,,Lemna aequinoctialis Welw.,Plantae,Lemna,Lemna aequinoctialis,2867616,Araceae
Lemna perpusilla,2867627,,Lemna perpusilla Torr.,Plantae,Lemna,Lemna perpusilla,2867627,Araceae
Lycopodium annotinum,2688369,9707050,Lycopodium annotinum L.,Plantae,Spinulum,Spinulum annotinum,9707050,Lycopodiaceae
Lycopodium clavatum,2688393,,Lycopodium clavatum L.,Plantae,Lycopodium,Lycopodium clavatum,2688393,Lycopodiaceae
Macowania corymbosa,5393619,10539544,Macowania corymbosa M.D.Hend.,Plantae,Arrowsmithia,Arrowsmithia corymbosa,10539544,Asteraceae
Mantoniella squamata,2688081,,"Mantoniella squamata (Manton & Parke) Desikachary, 1972",Plantae,Mantoniella,Mantoniella squamata,2688081,Mamiellaceae
Mastocarpus papillatus,2667316,,"Mastocarpus papillatus (C.Agardh) Kützing, 1843",Plantae,Mastocarpus,Mastocarpus papillatus,2667316,Phyllophoraceae
