plant_id,genus,species,gbif_key,synonyms,family_id
235,Lindera,praecox,7304475,Benzoin praecox,25
236,Berberis,julianae,3981543,,112
237,Beyeria,brevifolia,8049210,,166
238,Bidens,andicola,7338058,,423
239,Blepharocalyx,salicifolius,3187875,,235
240,Boswellia,sacra,8330171,Boswellia carteri,253
241,Bothriochloa,bladhii,2704093,,102
242,Bridelia,ferruginea,3076157,,181
243,Bunium,paucifolium,6027277,,439
244,Bupleurum,fruticescens,6027094,,439
245,Bupleurum,fruticosum,3638793,,439
246,Bursaria,spinosa,7303844,,445
247,Bystropogon,canariensis,3904098,,396
248,Bystropogon,origanifolius,7309341,,396
249,Callistemon,linearis,3173349,,235
250,Calycolpus,warszewiczianus,8353141,,235
251,Canarium,luzonicum,7445618,,253
252,Canella,winterana,3877834,,8
253,Cannabis,sativa,5361880,,199
254,Cantinoa,mutabilis,7471562,,396
255,Capsicum,annuum,2932944,,388
256,Carapichea,ipecacuanha,2921359,,381
257,Cardamine,heptaphylla,3045634,Cardamine pinnata,273
258,Carica,papaya,2874484,,276
259,Carum,carvi,3034714,,439
260,Carum,copticum,7741980,,439
261,Catha,edulis,7979745,,144
262,Catharanthus,roseus,3169830,,376
263,Centella,asiatica,3034128,,439
264,Centranthus,longiflorus,7298973,Centranthus longiflorus ssp. longiflorus,438
265,Ceratophyllum,demersum,2882398,,111
266,Chaerophyllum,azoricum,3642488,,439
267,Matricaria,chamomilla,8370958,Chamomilla recutita,423
268,Chiliadenus,lopadusanus,3089854,,423
269,Chloranthus,tianmushanensis,3750501,,28
270,Chresta,sphaerocephala,3142080,,423
271,Chromolaena,odorata,3087725,,423
272,Chromolaena,pulchella,3087897,,423
273,Chrysanthemum,indicum,3150814,,423
274,Chrysanthemum,morifolium,3150767,Chrysanthemum x morifolium,423
275,Chrysanthemum,zawadzkii,10906157,Chrysanthemum zawadskii,423
276,Cinnamomum,aromaticum,3033982,,25
277,Cinnamomum,camphora,3033991,,25
278,Cinnamomum,illicioides,4183219,,25
279,Cinnamomum,sieboldii,8286659,,25
280,Cinnamomum,chekiangense,4176844,Cinnamomum tenuifolium,25
281,Cinnamomum,verum,3033987,,25
282,Cistus,albidus,7331435,,262
283,Cistus,creticus,6438085,,262
284,Cistus,ladanifer,6437976,,262
285,Cistus,laurifolius,3596501,,262
286,Cistus,monspeliensis,2874030,,262
287,Citrus,aurantiifolia,3190164,Citrus aurantifolia,257
288,Citrus,aurantium,8077391,,257
289,Citrus,hystrix,6433679,,257
290,Citrus,japonica,3831801,,257
291,Citrus,junos,3831766,,257
292,Citrus,limon,7647136,,257
293,Citrus,maxima,3190160,,257
294,Citrus,medica,3190157,,257
295,Citrus,reticulata,3190172,,257
296,Citrus,trifoliata,3190129,,257
297,Clausena,excavata,5834596,,257
298,Cleistopholis,patens,3153999,,15
299,Cleonia,lusitanica,3895568,,396
300,Clinopodium,album,9392339,,396
301,Clinopodium,barbatum,9473735,,396
302,Clinopodium,carolinianum,3887869,,396
303,Clinopodium,congestum,3887703,,396
304,Clinopodium,grandiflorum,7437438,,396
305,Clinopodium,hostii,10793317,Clinopodium thymifolium,396
306,Cneorum,pulverulentum,3709357,,257
