original_name,gbif_id,gbif_accepted_id,gbif_accepted_name,kingdom,genus,species,gbif_key,family,family_id
Camellia japonica,3189636,,Camellia japonica L.,Plantae,Camellia,Camellia japonica,3189636,Theaceae,370
Camellia oleifera,8307542,,Camellia oleifera Abel.,Plantae,Camellia,Camellia oleifera,8307542,Theaceae,370
Camellia sasanqua,3189637,,Camellia sasanqua Thunb.,Plantae,Camellia,Camellia sasanqua,3189637,Theaceae,370
Camellia sinensis,3189635,,Camellia sinensis (L.) Kuntze,Plantae,Camellia,Camellia sinensis,3189635,Theaceae,370
Cicer arietinum,2947311,,Cicer arietinum L.,Plantae,Cicer,Cicer arietinum,2947311,Fabaceae,193
Clusia columnaris,7329886,,Clusia columnaris Engl.,Plantae,Clusia,Clusia columnaris,7329886,Clusiaceae,160
Clusia multiflora,7330264,,Clusia multiflora Kunth,Plantae,Clusia,Clusia multiflora,7330264,Clusiaceae,160
Cucumis melo,2874570,,Cucumis melo L.,Plantae,Cucumis,Cucumis melo,2874570,Cucurbitaceae,219
Cucumis sativus,2874569,,Cucumis sativus L.,Plantae,Cucumis,Cucumis sativus,2874569,Cucurbitaceae,219
Dacryodes hopkinsii,7946876,,Dacryodes hopkinsii Daly,Plantae,Dacryodes,Dacryodes hopkinsii,7946876,Burseraceae,253
Euphorbia abyssinica,3069564,,Euphorbia abyssinica J.F.Gmel.,Plantae,Euphorbia,Euphorbia abyssinica,3069564,Euphorbiaceae,166
Euphorbia aleppica,3067011,,Euphorbia aleppica L.,Plantae,Euphorbia,Euphorbia aleppica,3067011,Euphorbiaceae,166
Euphorbia antiquorum,3069535,,Euphorbia antiquorum L.,Plantae,Euphorbia,Euphorbia antiquorum,3069535,Euphorbiaceae,166
Euphorbia boetica,3919726,,Euphorbia boetica Boiss.,Plantae,Euphorbia,Euphorbia boetica,3919726,Euphorbiaceae,166
Euphorbia broteri,3919636,3065417.0,Euphorbia broteri Daveau,Plantae,Euphorbia,Euphorbia oxyphylla,3065417,Euphorbiaceae,166
Euphorbia caducifolia,3067866,,Euphorbia caducifolia Haines,Plantae,Euphorbia,Euphorbia caducifolia,3067866,Euphorbiaceae,166
Euphorbia condylocarpa,3070069,,Euphorbia condylocarpa M.Bieb.,Plantae,Euphorbia,Euphorbia condylocarpa,3070069,Euphorbiaceae,166
Euphorbia drupifera,3069665,,Euphorbia drupifera Thonn.,Plantae,Euphorbia,Euphorbia drupifera,3069665,Euphorbiaceae,166
Euphorbia ebracteolata,3068544,,Euphorbia ebracteolata Hayata,Plantae,Euphorbia,Euphorbia ebracteolata,3068544,Euphorbiaceae,166
Euphorbia esula,8203538,,Euphorbia esula L.,Plantae,Euphorbia,Euphorbia esula,8203538,Euphorbiaceae,166
Euphorbia esula var. cyparissoides,3064252,,Euphorbia esula var. cyparissioides Boiss.,Plantae,Euphorbia,Euphorbia esula,3064252,Euphorbiaceae,166
