original_name,gbif_id,gbif_accepted_id,gbif_accepted_name,kingdom
Anaxagorea clavata,3156859,3156858,Anaxagorea clavata R.E.Fr.,Plantae
Anethum graveolens,3034646,NA,Anethum graveolens L.,Plantae
Anethum graveolens L.,3034646,NA,Anethum graveolens L.,Plantae
Angelica acutiloba,5537879,NA,Angelica acutiloba (Siebold & Zucc.) Kitag.,Plantae
Angelica gigas,5537749,NA,Angelica gigas Nakai,Plantae
Angelica sinensis,6027415,NA,Angelica sinensis (Oliv.) Diels,Plantae
Anisotome antipoda,3641744,NA,Anisotome antipoda Hook.fil.,Plantae
Annona cascarilloides,5407086,NA,Annona cascarilloides C.Wright ex Griseb.,Plantae
Anthemis aciphylla,3122620,NA,Anthemis aciphylla Boiss.,Plantae
Anthemis aciphylla BOISS.var.discoidea BOISS,6296697,NA,"Anthemis aciphylla var. discoidea Boiss., 1875",Plantae
Arabidopsis thaliana,3052436,NA,Arabidopsis thaliana (L.) Heynh.,Plantae
Araujia sericifera,3170442,NA,Araujia sericifera Brot.,Plantae
Ardisia arborescens,5557929,5558193,Ardisia arborescens Wall.,Plantae
Aria pallescens,5365145,3013096,Aria pallescens (Rehder) H.Ohashi & Iketani,Plantae
Arnica nevadensis,5405929,NA,Arnica nevadensis A.Gray,Plantae
Artemisia absinthium,3121319,NA,Artemisia absinthium L.,Plantae
Artemisia afra,8078031,NA,Artemisia afra Jacq.,Plantae
Artemisia ammaniana,3121246,NA,Artemisia ammaniana Besser,Plantae
Artemisia annua,8373355,NA,Artemisia annua L.,Plantae
Artemisia annua L.,8373355,NA,Artemisia annua L.,Plantae
Artemisia apiacea,3121557,4230571,Artemisia apiacea Hance,Plantae
Artemisia arborescens,3120677,NA,Artemisia arborescens L.,Plantae
Artemisia argyi,3120648,NA,Artemisia argyi H.Lév. & Vaniot,Plantae
Artemisia capillaris,3120722,NA,Artemisia capillaris Thunb.,Plantae
Artemisia halophila,3121192,NA,Artemisia halophila Krasch.,Plantae
Artemisia indica,3120972,NA,Artemisia indica Willd.,Plantae
Artemisia messerschmidtiana,3120709,9624042,Artemisia messerschmidtiana Besser,Plantae
Artemisia monogyna,3120641,NA,Artemisia L.,Plantae
Artemisia montana,3121341,NA,Artemisia montana (Nakai) Pamp.,Plantae
Artemisia princeps,3121258,NA,Artemisia princeps Pamp.,Plantae
Artemisia salsoloides,3121286,NA,Artemisia salsoloides Willd.,Plantae
Artemisia sericea,7921883,NA,Artemisia sericea (Besser) Weber,Plantae
Artemisia spicigera,3121483,NA,Artemisia spicigera K.Koch,Plantae
Artemisia thuscula,3121623,NA,Artemisia thuscula Cav.,Plantae
Artemisia xerophytica,3121294,NA,Artemisia xerophytica Krasch.,Plantae
Asarum heterotropoides,7313559,NA,Asarum heterotropoides F.Schmidt,Plantae
Asarum heterotropoides f. schm. var. mandshuricum (maxim.) kitag.,7313559,NA,Asarum heterotropoides F.Schmidt,Plantae
Asarum sieboldii,7313629,NA,Asarum sieboldii Miq.,Plantae
Asiasarum heterotropoides,7313573,7313559,Asiasarum heterotropoides (F.Schmidt) F.Maek.,Plantae
Asiasarum sieboldii,7313570,7313629,Asiasarum sieboldii (Miq.) F.Maek.,Plantae
Aster scaber,7422131,NA,"Aster scaber Moench, 1802",Plantae
Asterolasia squamuligera,3834602,NA,Asterolasia squamuligera (Hook.) Benth.,Plantae
Atalantia buxifolia,5593924,NA,Atalantia buxifolia (Poir.) Oliv.,Plantae
Athamanta macedonica,3633598,7454714,Athamanta macedonica (L.) Spreng.,Plantae
Athanasia crithmifolia,7627744,NA,Athanasia crithmifolia (L.) L.,Plantae
