inchi_key,cids
KIMDVVKVNNSHGZ-UHFFFAOYSA-N,5281814.0
KZIADLALQLRZIQ-RXFYRGCNSA-N,10245246.0
KLAOKWJLUQKWIF-UHFFFAOYSA-N,97214.0
AWNULKZWGIHZJH-ZUPWUQBJSA-N,102316529.0
MCEZMEUDXFRABM-UHFFFAOYSA-N,44521557.0
MAUDJFZRMGWDAY-UHFFFAOYSA-N,
JVXZRQGOGOXCEC-UHFFFAOYSA-N,5281697.0
YIIIRKNNSIHWMJ-OBSOAVOYSA-N,
HOVAGTYPODGVJG-ZYNSJIGGSA-N,6997328.0
UQLYMCXRTDACLV-UHFFFAOYSA-N,162994956.0
QWQBHSVBSAZDQN-UHFFFAOYSA-N,138455241.0
FJOFVCSAFYIQEB-DJZRFWRSSA-N,162978563.0
UAMQTTPOILAAME-RWXZNNAISA-N,163195394.0
SGVSEKHMHFZOGM-SXHSIWHZSA-N,162928294.0
FMFCFFOLQZZBDX-INIZCTEOSA-N,101584233.0
KCLUDPMNXPYXIZ-LOIYTUIVSA-N,
NADGBBLSBLDJEH-NEPJUHHUSA-N,6427503.0
CHDDYPARQRCBSM-WGMGUUHVSA-N,15699305.0
HRLFUIXSXUASEX-QDGJQWLKSA-N,167452.0
AMASMQWBGMKOFH-UHFFFAOYSA-N,85926407.0
OFWDPOZCVBLOIH-UHFFFAOYSA-N,162846385.0
OHVLVQZSSLHFMS-UHFFFAOYSA-N,10466390.0
OSTCLUSJTWXHEU-UHFFFAOYSA-N,24766569.0
HCISIQALOMLBND-IBLYRPOOSA-N,162835329.0
VHLZJIBDJSOIAT-UHFFFAOYSA-N,44575275.0
XOSSQCKBQAOHEZ-XOJNGUAZSA-N,162816920.0
GCTHJJODZWGWQS-XOSGAOPRSA-N,162977448.0
RHXIBAWFWWTION-BBMKJJDCSA-N,162882924.0
CXCYCFDGKJSNIJ-UHFFFAOYSA-N,90437593.0
AVQARFHINIEEIO-PBLVUODPSA-N,162852120.0
PJGXBSCTZLDUJY-PPAXCSNISA-N,163006665.0
ZRLMJVXNRUJUSI-GQCTYLIASA-N,
OPNKSPPKQUMBSL-ZMVLXVBASA-N,101114181.0
UFLHIIWVXFIJGU-ARJAWSKDSA-N,5281167.0
BRVXVMOWTHQKHC-NHTJSLHDSA-N,6440619.0
HPDHKHMHQGCNPE-QLJRNOHWSA-N,5281752.0
TZOCNNYAQORZLV-UHFFFAOYSA-N,162849902.0
KCLKOOIYAAERJD-IVDWBNGSSA-N,10309067.0
INZJGLGPSGHIGY-UHFFFAOYSA-N,25064624.0
SOKRNBGSNZXYIO-GEWJJWOZSA-N,101316848.0
ZICGJBPBLVXOBM-MITUEXOSSA-N,12302371.0
UEVKJUWORXCMBU-VOTSOKGWSA-N,
FXXFDXIHVTUMKG-RWPFOECKSA-N,162817625.0
DBZKCUWFRLLAMD-LBLNHHSSSA-N,162978397.0
ZBAXJUPCYVIBSP-UHFFFAOYSA-N,97960.0
BPHIWZWKPGDBFM-KYLVEWQQSA-N,
FZSNATXOGRAOIL-UHFFFAOYSA-N,7010318.0
