original_name,gbif_id,gbif_accepted_id,gbif_accepted_name,kingdom,genus,species,gbif_key
Coreopsis pubescens,3134025,,Coreopsis pubescens Elliott,Plantae,Coreopsis,pubescens,3134025
Crocus antalyensis,2747304,,Crocus antalyensis B.Mathew,Plantae,Crocus,antalyensis,2747304
Crotalaria retusa,2942610,,Crotalaria retusa L.,Plantae,Crotalaria,retusa,2942610
Curio citriformis,3107750,,Curio citriformis (G.D.Rowley) P.V.Heath,Plantae,Curio,citriformis,3107750
Curio hallianus,4242096,,Curio hallianus (G.D.Rowley) P.V.Heath,Plantae,Curio,hallianus,4242096
Curio herreanus,3149664,,Curio herreanus (Dinter) P.V.Heath,Plantae,Curio,herreanus,3149664
Curio ovoideus,3108580,,Curio ovoideus (Compton) P.V.Heath,Plantae,Curio,ovoideus,3108580
Curio radicans,3107396,,Curio radicans (L.) P.V.Heath,Plantae,Curio,radicans,3107396
Curio rowleyanus,3149649,,Curio rowleyanus (H.Jacobsen) P.V.Heath,Plantae,Curio,rowleyanus,3149649
Curio sulcicalyx,4242063,,Curio sulcicalyx (N.E.Br.) P.V.Heath,Plantae,Curio,sulcicalyx,4242063
Curio talinoides var. mandraliscae,4242038,,Curio talinoides var. mandraliscae (Tineo) P.V.Heath,Plantae,Curio,talinoides,4242038
Cuscuta europea,2927493,,Cuscuta europaea L.,Plantae,Cuscuta,europea,2927493
Cuscuta gronovii,2927492,,Cuscuta gronovii Willd. ex Schult.,Plantae,Cuscuta,gronovii,2927492
Cuscuta odorata,7324028,,Cuscuta odorata Ruiz & Pav.,Plantae,Cuscuta,odorata,7324028
Cuscuta pedicellata,3677416,,Cuscuta pedicellata Ledeb.,Plantae,Cuscuta,pedicellata,3677416
Cynanchum ascyrifolium,7312709,8060708.0,Cynanchum ascyrifolium (Franch. & Sav.) Matsum.,Plantae,Cynanchum,ascyrifolium,8060708
Cynoglossum gansuense,4064155,,Cynoglossum gansuense Y.L.Liu,Plantae,Cynoglossum,gansuense,4064155
Detarium microcarpum,2961176,,Detarium microcarpum Guill. & Perr.,Plantae,Detarium,microcarpum,2961176
Dionaea muscipula,5421410,,Dionaea muscipula Ellis,Plantae,Dionaea,muscipula,5421410
Doronicum macrophyllum,8292300,,Doronicum macrophyllum Fisch.,Plantae,Doronicum,macrophyllum,8292300
Duguetia bahiensis,3157552,,Duguetia bahiensis Maas,Plantae,Duguetia,bahiensis,3157552
Duguetia chrysocarpa,3157532,,Duguetia chrysocarpa Maas,Plantae,Duguetia,chrysocarpa,3157532
Elaeagnus bockii,7293117,,Elaeagnus bockii Diels,Plantae,Elaeagnus,bockii,7293117
Elaeagnus lanceolata,4048289,,Elaeagnus lanceolata Warb.,Plantae,Elaeagnus,lanceolata,4048289
Equisetum bogotense,7287803,,Equisetum bogotense Kunth,Plantae,Equisetum,bogotense,7287803
Erythroxylum barbatum,3694362,,Erythroxylum barbatum O.E.Schulz,Plantae,Erythroxylum,barbatum,3694362
Erythroxylum myrsinites,3694208,,Erythroxylum myrsinites Mart.,Plantae,Erythroxylum,myrsinites,3694208
Erythroxylum pruinosum,3694088,,Erythroxylum pruinosum O.E.Schulz,Plantae,Erythroxylum,pruinosum,3694088
Erythroxylum rufum,2873944,,Erythroxylum rufum Cav.,Plantae,Erythroxylum,rufum,2873944
Erythroxylum squamatum,7284874,,Erythroxylum squamatum Sw.,Plantae,Erythroxylum,squamatum,7284874
Erythroxylum suberosum,7284843,,Erythroxylum suberosum A.St.-Hil.,Plantae,Erythroxylum,suberosum,7284843
Erythroxylum subracemosum,3694072,,Erythroxylum subracemosum Turcz.,Plantae,Erythroxylum,subracemosum,3694072
Erythroxylum tenue,3693998,,Erythroxylum tenue Plowman,Plantae,Erythroxylum,tenue,3693998
Erythroxylum ulei,3694437,,Erythroxylum ulei O.E.Schulz,Plantae,Erythroxylum,ulei,3694437
Euphorbia hyssopifolia,3065912,,Euphorbia hyssopifolia L.,Plantae,Euphorbia,hyssopifolia,3065912
Fallopia cilinode,5334390,12207464.0,Fallopia cilinodis (Michx.) Holub,Plantae,Fallopia,cilinode,12207464
Ficus vallis-choudae,5571789,,Ficus vallis-choudae Delile,Plantae,Ficus,vallis-choudae,5571789
Fraxinus insularis,7326033,,Fraxinus insularis Hemsl.,Plantae,Fraxinus,insularis,7326033
Fuchsia abrupta,6029080,,Fuchsia abrupta I.M.Johnst.,Plantae,Fuchsia,abrupta,6029080
Fuchsia ampliata,6029069,,Fuchsia ampliata Benth.,Plantae,Fuchsia,ampliata,6029069
Fuchsia andrei,6029068,,Fuchsia andrei I.M.Johnst.,Plantae,Fuchsia,andrei,6029068
Fuchsia apetala,6029067,,Fuchsia apetala Ruiz & Pav.,Plantae,Fuchsia,apetala,6029067
Fuchsia arborescens,10867092,,"Fuchsia arborescens La Llave, 1832",Plantae,Fuchsia,arborescens,10867092
Fuchsia austromontana,6029041,,Fuchsia austromontana I.M.Johnst.,Plantae,Fuchsia,austromontana,6029041
Fuchsia ayavacensis,6029040,,Fuchsia ayavacensis Kunth,Plantae,Fuchsia,ayavacensis,6029040
Fuchsia boliviana,5938225,,Fuchsia boliviana Carrière,Plantae,Fuchsia,boliviana,5938225
Fuchsia campos-portoi,6029019,,Fuchsia campos-portoi Pilg. & G.K.Schulze,Plantae,Fuchsia,campos-portoi,6029019
Fuchsia cestroides,6029010,,Fuchsia cestroides Schulze-Menz,Plantae,Fuchsia,cestroides,6029010
Fuchsia chloroloba,6029006,,Fuchsia chloroloba I.M.Johnst.,Plantae,Fuchsia,chloroloba,6029006
Fuchsia coccinea,7443030,,Fuchsia coccinea Sol. ex Aiton,Plantae,Fuchsia,coccinea,7443030
Fuchsia colensoi,6028991,,Fuchsia × colensoi Hook.fil.,Plantae,Fuchsia,colensoi,6028991
Fuchsia corollata,6028977,,Fuchsia corollata Benth.,Plantae,Fuchsia,corollata,6028977
Fuchsia corymbiflora,6028976,,Fuchsia corymbiflora Ruiz & Pav.,Plantae,Fuchsia,corymbiflora,6028976
Fuchsia cyrtandroides,6028964,,Fuchsia cyrtandroides J.W.Moore,Plantae,Fuchsia,cyrtandroides,6028964
Fuchsia decidua,6028963,,Fuchsia decidua Standl.,Plantae,Fuchsia,decidua,6028963
Fuchsia decussata,6028959,,Fuchsia decussata Ruiz & Pav.,Plantae,Fuchsia,decussata,6028959
Fuchsia denticulata,6028957,,Fuchsia denticulata Ruiz & Pav.,Plantae,Fuchsia,denticulata,6028957
Fuchsia dependens,6028956,,Fuchsia dependens Hook.,Plantae,Fuchsia,dependens,6028956
Fuchsia eucliandra,6028941,,Fuchsia eucliandra Steud.,Plantae,Fuchsia,eucliandra,6028941
Fuchsia excorticata,7700511,,Fuchsia excorticata (J.R.Forst. & G.Forst.) L.fil.,Plantae,Fuchsia,excorticata,7700511
Fuchsia ferreyrae,6028935,,Fuchsia ferreyrae P.E.Berry,Plantae,Fuchsia,ferreyrae,6028935
Fuchsia fontinalis,6028929,,Fuchsia fontinalis J.F.Macbr.,Plantae,Fuchsia,fontinalis,6028929
Fuchsia fulgens,6028927,,Fuchsia fulgens Moc. & Sessé ex DC.,Plantae,Fuchsia,fulgens,6028927
Fuchsia furfuracea,6028924,,Fuchsia furfuracea I.M.Johnst.,Plantae,Fuchsia,furfuracea,6028924
Fuchsia garleppiana,6028922,,Fuchsia garleppiana Kuntze & Wittm.,Plantae,Fuchsia,garleppiana,6028922
Fuchsia gehrigeri,6028919,,Fuchsia gehrigeri Munz,Plantae,Fuchsia,gehrigeri,6028919
Fuchsia harlingii,6028904,,Fuchsia harlingii Munz,Plantae,Fuchsia,harlingii,6028904
Fuchsia hartwegii,6028903,,Fuchsia hartwegii Benth.,Plantae,Fuchsia,hartwegii,6028903
Fuchsia hirtella,6028895,,Fuchsia hirtella Kunth,Plantae,Fuchsia,hirtella,6028895
Fuchsia inflata,6028886,,Fuchsia inflata Schulze-Menz,Plantae,Fuchsia,inflata,6028886
Fuchsia jimenezii,6028871,,"Fuchsia jimenezii Breedlove, P.E.Berry & P.H.Raven",Plantae,Fuchsia,jimenezii,6028871
Fuchsia juntasensis,6028867,,Fuchsia juntasensis Kuntze,Plantae,Fuchsia,juntasensis,6028867
Fuchsia lehmannii,6028859,,Fuchsia lehmannii Munz,Plantae,Fuchsia,lehmannii,6028859
Fuchsia loxensis,6028846,,Fuchsia loxensis Kunth,Plantae,Fuchsia,loxensis,6028846
Fuchsia lycioides,6028843,,Fuchsia lycioides Andr.,Plantae,Fuchsia,lycioides,6028843
Fuchsia macrophylla,6028836,,Fuchsia macrophylla I.M.Johnst.,Plantae,Fuchsia,macrophylla,6028836
Fuchsia macrostigma,7322218,,Fuchsia macrostigma Benth.,Plantae,Fuchsia,macrostigma,7322218
Fuchsia magellanica,5938224,,Fuchsia magellanica Lam.,Plantae,Fuchsia,magellanica,5938224
Fuchsia mathewsii,6028799,,Fuchsia mathewsii J.F.Macbr.,Plantae,Fuchsia,mathewsii,6028799
Fuchsia membranacea,8363959,,Fuchsia membranacea Hemsl.,Plantae,Fuchsia,membranacea,8363959
Fuchsia microphylla,7322172,,Fuchsia microphylla Kunth,Plantae,Fuchsia,microphylla,7322172
Fuchsia nigricans,6028761,,Fuchsia nigricans Linden,Plantae,Fuchsia,nigricans,6028761
Fuchsia obconica,6028759,,Fuchsia obconica Breedlove,Plantae,Fuchsia,obconica,6028759
Fuchsia ovalis,7322140,,Fuchsia ovalis Ruiz & Pav.,Plantae,Fuchsia,ovalis,7322140
Fuchsia pallescens,6029374,,Fuchsia pallescens Diels,Plantae,Fuchsia,pallescens,6029374
Fuchsia paniculata,5938223,,Fuchsia paniculata Lindl.,Plantae,Fuchsia,paniculata,5938223
Fuchsia parviflora,6029369,,Fuchsia parviflora Lindl.,Plantae,Fuchsia,parviflora,6029369
Fuchsia perscandens,6029361,,Fuchsia perscandens Cockayne & Allan,Plantae,Fuchsia,perscandens,6029361
Fuchsia petiolaris,7322867,,Fuchsia petiolaris Kunth,Plantae,Fuchsia,petiolaris,7322867
Fuchsia pilaloensis,6029356,,Fuchsia pilaloensis P.E.Berry,Plantae,Fuchsia,pilaloensis,6029356
Fuchsia polyantha,7532907,,Fuchsia polyantha Killip ex Munz,Plantae,Fuchsia,polyantha,7532907
Fuchsia pringsheimii,6029346,,Fuchsia pringsheimii Urb.,Plantae,Fuchsia,pringsheimii,6029346
Fuchsia procumbens,6029345,,Fuchsia procumbens R.Cunn.,Plantae,Fuchsia,procumbens,6029345
Fuchsia putumayensis,6029339,,Fuchsia putumayensis Munz,Plantae,Fuchsia,putumayensis,6029339
Fuchsia regia,7322827,,Fuchsia regia (Vand. ex Vell.) Munz,Plantae,Fuchsia,regia,7322827
Fuchsia rivularis,7322818,,Fuchsia rivularis J.F.Macbr.,Plantae,Fuchsia,rivularis,7322818
Fuchsia sanctae-rosae,6029305,,Fuchsia sanctae-rosae Kuntze,Plantae,Fuchsia,sanctae-rosae,6029305
Fuchsia scabriuscula,6029300,,Fuchsia scabriuscula Benth.,Plantae,Fuchsia,scabriuscula,6029300
Fuchsia sessilifolia,6029293,,Fuchsia sessilifolia Benth.,Plantae,Fuchsia,sessilifolia,6029293
Fuchsia simplicicaulis,6029290,,Fuchsia simplicicaulis Ruiz & Pav.,Plantae,Fuchsia,simplicicaulis,6029290
Fuchsia splendens,8351674,,Fuchsia splendens Zucc.,Plantae,Fuchsia,splendens,8351674
Fuchsia steyermarkii,6029278,,Fuchsia steyermarkii P.E.Berry,Plantae,Fuchsia,steyermarkii,6029278
Fuchsia sylvatica,6029271,,Fuchsia sylvatica Benth.,Plantae,Fuchsia,sylvatica,6029271
Fuchsia thymifolia,7322775,,Fuchsia thymifolia Kunth,Plantae,Fuchsia,thymifolia,7322775
Fuchsia tillettiana,6029260,,Fuchsia tillettiana Munz,Plantae,Fuchsia,tillettiana,6029260
Fuchsia tincta,6029258,,Fuchsia tincta I.M.Johnst.,Plantae,Fuchsia,tincta,6029258
Fuchsia triphylla,6029253,,Fuchsia triphylla L.,Plantae,Fuchsia,triphylla,6029253
Fuchsia tunariensis,6029246,,Fuchsia tunariensis Kuntze,Plantae,Fuchsia,tunariensis,6029246
Fuchsia vargasiana,6029239,,Fuchsia vargasiana Munz ex Vargas,Plantae,Fuchsia,vargasiana,6029239
Fuchsia venusta,7322750,,Fuchsia venusta Kunth,Plantae,Fuchsia,venusta,7322750
Fuchsia vulcanica,6029229,,Fuchsia vulcanica André,Plantae,Fuchsia,vulcanica,6029229
Fuchsia wurdackii,6029225,,Fuchsia wurdackii Munz,Plantae,Fuchsia,wurdackii,6029225
Gamocarpha alpina,3906807,,Gamocarpha alpina (Poepp. ex Less.) H.V.Hansen,Plantae,Gamocarpha,alpina,3906807
Gouania obtusifolia,5602956,,Gouania obtusifolia Vent. ex Brongn.,Plantae,Gouania,obtusifolia,5602956
Grona adscendens,10846639,,Grona adscendens (Sw.) H.Ohashi & K.Ohashi,Plantae,Grona,adscendens,10846639
Guatteria rupestris,3155652,,Guatteria rupestris Mello-Silva & Pirani,Plantae,Guatteria,rupestris,3155652
Guatteria villosissima,3155732,,Guatteria villosissima A.St.-Hil.,Plantae,Guatteria,villosissima,3155732
Gynura procumbens,3139818,,Gynura procumbens (Lour.) Merr.,Plantae,Gynura,procumbens,3139818
Haplophyllum glabrinum,8400385,,Haplophyllum glaberrimum Bunge,Plantae,Haplophyllum,glabrinum,8400385
Helenium hoopesii,5405812,3150175.0,Helenium hoopesii A.Gray,Plantae,Helenium,hoopesii,3150175
Helenium tenuifolium,5401828,5401836.0,Helenium tenuifolium Nutt.,Plantae,Helenium,tenuifolium,5401836
Hemerocallis,9557223,,Hemerocallis L.,Plantae,Hemerocallis,spp.,9557223
Hippocrepis emerus,5353705,,Hippocrepis emerus (L.) Lassen,Plantae,Hippocrepis,emerus,5353705
Juniperus macropoda,2684790,2684788.0,Juniperus macropoda Boiss.,Plantae,Juniperus,macropoda,2684788
Kopsia profunda,5535926,,Kopsia profunda Markgr.,Plantae,Kopsia,profunda,5535926
Lafoensia densiflora,7286303,7286254.0,Lafoensia densiflora Pohl,Plantae,Lafoensia,densiflora,7286254
Laserpitium latifolium,6026401,,Laserpitium latifolium L.,Plantae,Laserpitium,latifolium,6026401
Lathyrus japonicus,5356714,,Lathyrus japonicus Willd.,Plantae,Lathyrus,japonicus,5356714
Leptarrhena pyrolifolia,3032880,,Leptarrhena pyrolifolia (D.Don) R.Br. ex Ser.,Plantae,Leptarrhena,pyrolifolia,3032880
Leuconotis eugenifolius,6712892,,Leuconotis eugeniifolia (Wall. ex G.Don) A.DC.,Plantae,Leuconotis,eugenifolius,6712892
Libocedrus chevalieri,2683838,,Libocedrus chevalieri J.T.Buchholz,Plantae,Libocedrus,chevalieri,2683838
Liriodendron chinense,3152873,,Liriodendron chinense (Hemsl.) Sarg.,Plantae,Liriodendron,chinense,3152873
Lysimachia barystachys,3169347,,Lysimachia barystachys Bunge,Plantae,Lysimachia,barystachys,3169347
Marah fabacea,3622328,,Marah fabacea (Naudin) Greene,Plantae,Marah,fabacea,3622328
Marah oregana,2874545,,Marah oregana (Torr. & A.Gray) Howell,Plantae,Marah,oregana,2874545
Matthiola bicornis,5377415,7740944.0,Matthiola bicornis (Sm.) DC.,Plantae,Matthiola,bicornis,7740944
Melianthus comosus,3845268,,Melianthus comosus Vahl,Plantae,Melianthus,comosus,3845268
Millettia sericea,7807253,,Millettia sericea (Vent.) Benth.,Plantae,Millettia,sericea,7807253
Myrothamnus flabellifolia,4936263,,Myrothamnus flabellifolius (Sond.) Welw.,Plantae,Myrothamnus,flabellifolia,4936263
Neurolaena oaxacana,3096773,,Neurolaena oaxacana B.L.Turner,Plantae,Neurolaena,oaxacana,3096773
Nidorella aegyptiaca,8339120,,Nidorella aegyptiaca (L.) J.C.Manning & Goldblatt,Plantae,Nidorella,aegyptiaca,8339120
Ocotea velloziana,4181105,,Ocotea velloziana (Meisn.) Mez,Plantae,Ocotea,velloziana,4181105
Oenothera brachycarpa,3188910,,Oenothera brachycarpa A.Gray,Plantae,Oenothera,brachycarpa,3188910
Oenothera dissecta,3667028,,Oenothera dissecta A.Gray ex S.Watson,Plantae,Oenothera,dissecta,3667028
Oenothera fruticosa,7884360,,Oenothera fruticosa L.,Plantae,Oenothera,fruticosa,7884360
Oenothera havardii,3188823,,Oenothera havardii S.Watson,Plantae,Oenothera,havardii,3188823
Oenothera perennis,3188838,,Oenothera perennis L.,Plantae,Oenothera,perennis,3188838
Onobrychis amoena,2972724,,Onobrychis amoena Popov & Vved.,Plantae,Onobrychis,amoena,2972724
Onobrychis chorassanica,2972642,,Onobrychis chorassanica Bunge ex Boiss.,Plantae,Onobrychis,chorassanica,2972642
Onobrychis echidna,2972720,,Onobrychis echidna Lipsky,Plantae,Onobrychis,echidna,2972720
Onobrychis ferganica,2972684,4929746.0,Onobrychis ferganica (Širj.) Grossh.,Plantae,Onobrychis,ferganica,4929746
Onobrychis grandis,2972737,,Onobrychis grandis Lipsky,Plantae,Onobrychis,grandis,2972737
Onobrychis seravschanica,2972729,2972722.0,Onobrychis seravschanica B.Fedtsch.,Plantae,Onobrychis,seravschanica,2972722
Ophrys scolopax,2792827,,Ophrys scolopax Cav.,Plantae,Ophrys,scolopax,2792827
Oreocereus bruennowii,3952635,7282602.0,Oreocereus bruennowii (Britton & Rose) Backeb.,Plantae,Oreocereus,bruennowii,7282602
Ostericum citriodorum,3637222,,Ostericum citriodorum (Hance) R.H.Shan & C.Q.Yuan,Plantae,Ostericum,citriodorum,3637222
Ostericum maximowiczii,6026984,,Ostericum maximowiczii (F.Schmidt) Kitag.,Plantae,Ostericum,maximowiczii,6026984
Parietaria officinalis,5361803,,Parietaria officinalis L.,Plantae,Parietaria,officinalis,5361803
Parinari brasiliensis,2984962,,Parinari brasiliensis (Schott) Hook.fil.,Plantae,Parinari,brasiliensis,2984962
Parinari cardiophylla,2984939,,Parinari cardiophylla Ducke,Plantae,Parinari,cardiophylla,2984939
Parinari chocoensis,2984959,,Parinari chocoensis Prance,Plantae,Parinari,chocoensis,2984959
Parinari congensis,2984972,,Parinari congensis Didr.,Plantae,Parinari,congensis,2984972
Parinari excelsa,2985000,,Parinari excelsa Sabine,Plantae,Parinari,excelsa,2985000
Parinari insularum,2984938,,Parinari insularum A.Gray,Plantae,Parinari,insularum,2984938
Parinari littoralis,2984988,,Parinari littoralis Prance,Plantae,Parinari,littoralis,2984988
Parinari maguirei,2985031,,Parinari maguirei Prance,Plantae,Parinari,maguirei,2985031
Parinari montana,2984746,,Parinari montana Aubl.,Plantae,Parinari,montana,2984746
Parinari nonda,7981083,,Parinari nonda F.Muell. ex Benth.,Plantae,Parinari,nonda,7981083
Parinari oblongifolia,2984948,,Parinari oblongifolia Hook.fil.,Plantae,Parinari,oblongifolia,2984948
Parinari occidentalis,2984993,,Parinari occidentalis Prance,Plantae,Parinari,occidentalis,2984993
Parinari pachyphylla,2984940,,Parinari pachyphylla Rusby,Plantae,Parinari,pachyphylla,2984940
Parinari parilis,2984991,,Parinari parilis J.F.Macbr.,Plantae,Parinari,parilis,2984991
Parinari parvifolia,2984969,,Parinari parvifolia Sandwith,Plantae,Parinari,parvifolia,2984969
Parnassia asarifolia,3032581,,Parnassia asarifolia Vent.,Plantae,Parnassia,asarifolia,3032581
Parnassia caroliniana,3032579,,Parnassia caroliniana Michx.,Plantae,Parnassia,caroliniana,3032579
Parnassia fimbriata,8382465,,Parnassia fimbriata Banks,Plantae,Parnassia,fimbriata,8382465
Parnassia glauca,3032583,,Parnassia glauca Raf.,Plantae,Parnassia,glauca,3032583
Parnassia grandifolia,3032573,,Parnassia grandifolia DC.,Plantae,Parnassia,grandifolia,3032573
Parnassia kotzebuei,3032575,,Parnassia kotzebuei Cham. & Schltdl. ex Spreng.,Plantae,Parnassia,kotzebuei,3032575
Peltophorum dasyrhachis,8110229,,Peltophorum dasyrhachis (Miq.) Kurz,Plantae,Peltophorum,dasyrhachis,8110229
Persicaria muricata,7291406,,Persicaria muricata (Meisn.) Nemoto,Plantae,Persicaria,muricata,7291406
Philadelphus lewisii,2986027,,Philadelphus lewisii Pursh,Plantae,Philadelphus,lewisii,2986027
Phlomis caucasica,3902483,7307102.0,Phlomis caucasica Rech.f.,Plantae,Phlomis,caucasica,7307102
Phlomis purpurea,7307046,,Phlomis purpurea L.,Plantae,Phlomis,purpurea,7307046
Phlomis spectabilis,3886317,3884993.0,Phlomis spectabilis Falc. ex Benth.,Plantae,Phlomis,spectabilis,3884993
Plagiogyria matsumureana,4160727,,Plagiogyria matsumureana (Makino) Makino,Plantae,Plagiogyria,matsumureana,4160727
Poiretia latifolia,5355200,,Poiretia latifolia Vogel,Plantae,Poiretia,latifolia,5355200
Polypodium virginianum,5274950,,Polypodium virginianum L.,Plantae,Polypodium,virginianum,5274950
Popowia pisocarpa,3156655,,Popowia pisocarpa K.Schum.,Plantae,Popowia,pisocarpa,3156655
Potentilla tanacetifolia,5367674,,Potentilla tanacetifolia Willd. ex D.F.K.Schltdl.,Plantae,Potentilla,tanacetifolia,5367674
Premna flavescens,2925344,,Premna L.,Plantae,Premna,flavescens,2925344
Psephellus bornmuelleri,3137884,,Psephellus bornmuelleri (Hausskn. ex Bornm.) Wagenitz,Plantae,Psephellus,bornmuelleri,3137884
Psephellus schischkinii,3137909,,Psephellus schischkinii (Tzvelev) Wagenitz,Plantae,Psephellus,schischkinii,3137909
Pteridium revolutum,7265867,5532507.0,Pteridium revolutum (Blume) Nakai,Plantae,Pteridium,revolutum,5532507
Pycnanthemum incanum,2927354,,Pycnanthemum incanum (L.) Michx.,Plantae,Pycnanthemum,incanum,2927354
Pycnocycla tomentosa,3641073,,Pycnocycla tomentosa Decne.,Plantae,Pycnocycla,tomentosa,3641073
Pyrola chlorantha,2888276,,Pyrola chlorantha Sw.,Plantae,Pyrola,chlorantha,2888276
Pyrola spp.,2888249,,Pyrola L.,Plantae,Pyrola,spp.,2888249
Quercus pontica,2881057,,Quercus pontica K.Koch,Plantae,Quercus,pontica,2881057
Rhus lanceolata,3190559,,Rhus lanceolata (A.Gray) Britton,Plantae,Rhus,lanceolata,3190559
Saintpaulia ionantha,6365236,10796900.0,Saintpaulia ionantha H.Wendl.,Plantae,Saintpaulia,ionantha,10796900
Salvia cavaleriei,3882060,,Salvia cavaleriei H.Lév.,Plantae,Salvia,cavaleriei,3882060
Sarcodes sanguinea,2888363,,Sarcodes sanguinea Torr.,Plantae,Sarcodes,sanguinea,2888363
Sarracenia jonesii,5572770,,Sarracenia jonesii Wherry,Plantae,Sarracenia,jonesii,5572770
Saussurea mongolica,5404367,,Saussurea mongolica (Franch.) Franch.,Plantae,Saussurea,mongolica,5404367
Saxifraga tricuspidata,3032759,,Saxifraga tricuspidata Rottb.,Plantae,Saxifraga,tricuspidata,3032759
Schouwia purpurea,5375907,,Schouwia purpurea (Forssk.) Schweinf.,Plantae,Schouwia,purpurea,5375907
Senecio herreianus,3107117,,"Senecio herreianus Dinter, 1932",Plantae,Senecio,herreianus,3107117
Sigmatanthus trifoliatus,3838259,,Sigmatanthus trifoliatus Huber ex Emmerich,Plantae,Sigmatanthus,trifoliatus,3838259
Sphagneticola calendulacea,3116861,,Sphagneticola calendulacea (L.) Pruski,Plantae,Sphagneticola,calendulacea,3116861
Sphagnum fallax,2669002,,Sphagnum fallax (H.Klinggr.) H.Klinggr.,Plantae,Sphagnum,fallax,2669002
Stephanodoria tomentella,3143061,,Stephanodoria tomentella (B.L.Rob.) Greene,Plantae,Stephanodoria,tomentella,3143061
Strychnos macrophylla,5645516,5645583.0,Strychnos macrophylla Barb.Rodr.,Plantae,Strychnos,macrophylla,5645583
Tabebuia ochracea,7880545,,Tabebuia ochracea A.H.Gentry,Plantae,Tabebuia,ochracea,7880545
Tacca plantaginea,2755849,,Tacca plantaginea (Hance) Drenth,Plantae,Tacca,plantaginea,2755849
Tecoma grandiflora,7703659,,"Tecoma grandiflora Sweet, 1826",Plantae,Tecoma,grandiflora,7703659
Tephrosia calophylla,5342073,,Tephrosia calophylla Bedd.,Plantae,Tephrosia,calophylla,5342073
Thelypteris nipponica,5666143,11410216.0,Thelypteris nipponica (Franch. & Sav.) Ching,Plantae,Thelypteris,nipponica,11410216
Trifolium ambiguum,5359385,,Trifolium ambiguum M.Bieb.,Plantae,Trifolium,ambiguum,5359385
Trillium kamtschaticum,8281708,,Trillium kamtschaticum Pall. ex Miyabe,Plantae,Trillium,kamtschaticum,8281708
Ancistrocladus barteri,8146549,,Ancistrocladus barteri Scott Elliot,Plantae,Ancistrocladus,barteri,8146549
Ancistrocladus congolensis,3658983,,Ancistrocladus congolensis J.Léonard,Plantae,Ancistrocladus,congolensis,3658983
Ancistrocladus griffithii,3658988,,Ancistrocladus griffithii Planch.,Plantae,Ancistrocladus,griffithii,3658988
Ancistrocladus qriffithii,7599530,,Ancistrocladus Wall. ex Wight & Arn.,Plantae,Ancistrocladus,qriffithii,7599530
Ancistrocladus tanzaniensis,3659011,,Ancistrocladus tanzaniensis Cheek & Frimodt-Møller,Plantae,Ancistrocladus,tanzaniensis,3659011
Colchicum hierosolymitanum,2739659,,Colchicum hierosolymitanum Feinbrun,Plantae,Colchicum,hierosolymitanum,2739659
Dysoxylum acutangulum,7271367,,Dysoxylum acutangulum Miq.,Plantae,Dysoxylum,acutangulum,7271367
Melaleuca cajuputi,5415885,,Melaleuca cajuputi Powell,Plantae,Melaleuca,cajuputi,5415885
Mikania alvimii,5398431,,Mikania alvimii R.M.King & H.Rob.,Plantae,Mikania,alvimii,5398431
Phyllanthus acutifolius,5381417,,Phyllanthus acutifolius Poir. ex Spreng.,Plantae,Phyllanthus,acutifolius,5381417
Rhododendron collettianum,4165997,,Rhododendron collettianum Aitch. & Hemsl.,Plantae,Rhododendron,collettianum,4165997
Schumanniophyton problematicum,2899640,,Schumanniophyton problematicum (A.Chev.) Aubrév.,Plantae,Schumanniophyton,problematicum,2899640
Artemisia pauciflora,8687560,,Artemisia pauciflora Weber,Plantae,Artemisia,pauciflora,8687560
Artemisia saissanica,4225797,,Artemisia saissanica (Krasch.) Filatova,Plantae,Artemisia,saissanica,4225797
Artemisia schrenkiana,3121389,,Artemisia schrenkiana Ledeb.,Plantae,Artemisia,schrenkiana,3121389
Artemisia subchrysolepis,3121266,,Artemisia subchrysolepis Filatova,Plantae,Artemisia,subchrysolepis,3121266
Justicia grandis,12220479,,Justicia grandis (T.Anderson) A.Chev.,Plantae,Justicia,grandis,12220479
Lysimachia punctata,3169340,,Lysimachia punctata L.,Plantae,Lysimachia,punctata,3169340
Oxalis erythrorhiza,3626437,,Oxalis erythrorhiza Gillies,Plantae,Oxalis,erythrorhiza,3626437
Allium scorodoprasum,9177060,,Allium scorodoprasum L.,Plantae,Allium,scorodoprasum,9177060
Amomum mindanaense,5301726,10834141.0,Amomum mindanaense Elmer,Plantae,Amomum,mindanaense,10834141
Euphorbia mellifera,3069311,,Euphorbia mellifera Aiton,Plantae,Euphorbia,mellifera,3069311
Euphorbia stygiana,3069679,,Euphorbia stygiana H.C.Watson,Plantae,Euphorbia,stygiana,3069679
Allium turcomanicum,2856053,,Allium turcomanicum Regel,Plantae,Allium,turcomanicum,2856053
Baccharis darwinii,3129943,,Baccharis darwinii Hook. & Arn.,Plantae,Baccharis,darwinii,3129943
Cardiagyris scabra,10679713,,Cardiagyris scabra (Thunb.) G.L.Nesom,Plantae,Cardiagyris,scabra,10679713
Cephalaria transsylvanica,4934466,,Cephalaria transsylvanica (L.) Schrad. ex Roem. & Schult.,Plantae,Cephalaria,transsylvanica,4934466
Curio corymbifer,10090698,,Curio corymbifer (DC.) Eggli,Plantae,Curio,corymbifer,10090698
