original_name,gbif_id,gbif_accepted_id,gbif_accepted_name,kingdom,genus,species,gbif_key
Lophozia floerkei,4277456,7653258.0,Lophozia floerkei (F.Weber & D.Mohr) Schiffn.,Plantae,Lophozia,floerkei,7653258
Machilus robusta,4178041,,Machilus robustus W.W.Sm.,Plantae,Machilus,robusta,4178041
Maharanga bicolor,4058929,,Maharanga bicolor (Wall. ex G.Don) A.DC.,Plantae,Maharanga,bicolor,4058929
Microglossa zeylanica,5698288,7336595.0,Microglossa zeylanica Benth. & Hook.f.,Plantae,Microglossa,zeylanica,7336595
Mikania saltensis,5398451,,Mikania saltensis Hieron.,Plantae,Mikania,saltensis,5398451
Millettia rubiginosa,5355813,,Millettia rubiginosa Wight & Arn.,Plantae,Millettia,rubiginosa,5355813
Morina chinensis,7528649,3760987.0,Morina chinensis (Batalin ex Diels) Y.Y.Bai,Plantae,Morina,chinensis,3760987
Mosla japonica,7309478,,Mosla japonica (Benth. ex Oliv.) Maxim.,Plantae,Mosla,japonica,7309478
Narcissus triandrus,2858501,,Narcissus triandrus L.,Plantae,Narcissus,triandrus,2858501
Onopordum caricum,4206275,,Onopordum caricum Hub.-Mor.,Plantae,Onopordum,caricum,4206275
Osmanthus asiaticus,3683773,8294328.0,Osmanthus asiaticus Nakai,Plantae,Osmanthus,asiaticus,8294328
Osmitopsis osmitoides,3110750,,Osmitopsis osmitoides (Less.) K.Bremer,Plantae,Osmitopsis,osmitoides,3110750
Osteospermum hyoseroides,3125887,,Osteospermum hyoseroides (DC.) Norl.,Plantae,Osteospermum,hyoseroides,3125887
Pandanus odoratissimus,8291402,,"Pandanus odoratissimus Blume, 1823",Plantae,Pandanus,odoratissimus,8291402
Pandanus odorifer,5327293,,Pandanus odorifer (Forssk.) Kuntze,Plantae,Pandanus,odorifer,5327293
Plagiomnium undulatum,7863767,,Plagiomnium undulatum (Hedw.) T.J.Kop.,Plantae,Plagiomnium,undulatum,7863767
Poacynum hendersonii,3621706,3621698.0,Poacynum hendersonii (Hook.fil.) Woodson,Plantae,Poacynum,hendersonii,3621698
Poraqueiba paraensis,3597475,,Poraqueiba paraensis Ducke,Plantae,Poraqueiba,paraensis,3597475
Rhaphidophora decursiva,5329707,,Rhaphidophora decursiva (Roxb.) Schott,Plantae,Rhaphidophora,decursiva,5329707
Rhodanthe manglesii,3137621,,Rhodanthe manglesii Lindl.,Plantae,Rhodanthe,manglesii,3137621
Rhododendron przewalskii,7327942,,Rhododendron przewalskii Maxim.,Plantae,Rhododendron,przewalskii,7327942
Ribes sanguineum,2986130,,Ribes sanguineum Pursh,Plantae,Ribes,sanguineum,2986130
Rubus amabilis,2988982,,Rubus amabilis Focke,Plantae,Rubus,amabilis,2988982
Sambucus adnata,3857491,,Sambucus adnata Wall.,Plantae,Sambucus,adnata,3857491
Scenedesmus basiliensis,2640664,,"Scenedesmus Meyen, 1829",Plantae,Scenedesmus,basiliensis,2640664
Selaginella sinensis,7867535,,Selaginella sinensis (Desv.) Spring,Plantae,Selaginella,sinensis,7867535
Sesamoides canescens,7275930,7275917.0,Sesamoides canescens (L.) Kuntze,Plantae,Sesamoides,canescens,7275917
Stereospermum colais,7298473,,Stereospermum colais (Buch.-Ham. ex Dillwyn) Mabb.,Plantae,Stereospermum,colais,7298473
Strophanthus gratus,8685745,,Strophanthus gratus (Wall. & Hook.) Baill.,Plantae,Strophanthus,gratus,8685745
Strophanthus sarmentosus var. senegambiae,3169613,,Strophanthus sarmentosus DC.,Plantae,Strophanthus,sarmentosus,3169613
Symplocos lucida,9206311,,Symplocos lucida Wall. ex G.Don,Plantae,Symplocos,lucida,9206311
Symplocos setchuensis,7351368,,Symplocos setchuensis Brand,Plantae,Symplocos,setchuensis,7351368
Symplocos theifolia,7538961,,Symplocos theifolia Buch.-Ham. ex D.Don,Plantae,Symplocos,theifolia,7538961
