Foundation URI,Linearization URI,Code,BlockId,Title,ClassKind,DepthInKind,IsResidual,ChapterNo,BrowserLink,isLeaf,Primary tabulation,Grouping1,Grouping2,Grouping3,Grouping4,Grouping5,CodingNote,Parent,Version:2026 Jan 17 - 05:30 UTC
http://id.who.int/icd/entity/530592394,http://id.who.int/icd/release/11/mms/530592394,6B02,,- - Agoraphobia,category,1.0,False,6.0,,True,True,BlockL1-6B0,,,,,,http://id.who.int/icd/entity/1336943699,
http://id.who.int/icd/entity/239513569,http://id.who.int/icd/release/11/mms/239513569,6B03,,- - Specific phobia,category,1.0,False,6.0,,True,True,BlockL1-6B0,,,,,,http://id.who.int/icd/entity/1336943699,
http://id.who.int/icd/entity/2062286624,http://id.who.int/icd/release/11/mms/2062286624,6B04,,- - Social anxiety disorder,category,1.0,False,6.0,,True,True,BlockL1-6B0,,,,,,http://id.who.int/icd/entity/1336943699,
http://id.who.int/icd/entity/830200631,http://id.who.int/icd/release/11/mms/830200631,6B05,,- - Separation anxiety disorder,category,1.0,False,6.0,,True,True,BlockL1-6B0,,,,,,http://id.who.int/icd/entity/1336943699,
http://id.who.int/icd/entity/167946871,http://id.who.int/icd/release/11/mms/167946871,6B06,,- - Selective mutism,category,1.0,False,6.0,,True,True,BlockL1-6B0,,,,,,http://id.who.int/icd/entity/1336943699,
,http://id.who.int/icd/release/11/mms/1336943699/other,6B0Y,,- - Other specified anxiety or fear-related disorders,category,1.0,True,6.0,,True,True,BlockL1-6B0,,,,,,http://id.who.int/icd/entity/1336943699,
,http://id.who.int/icd/release/11/mms/1336943699/unspecified,6B0Z,,"- - Anxiety or fear-related disorders, unspecified",category,1.0,True,6.0,,True,True,BlockL1-6B0,,,,,,http://id.who.int/icd/entity/1336943699,
http://id.who.int/icd/entity/1321276661,http://id.who.int/icd/release/11/mms/1321276661,,BlockL1-6B2,- Obsessive-compulsive or related disorders,block,1.0,False,6.0,,False,,,,,,,,http://id.who.int/icd/entity/334423054,
http://id.who.int/icd/entity/1582741816,http://id.who.int/icd/release/11/mms/1582741816,6B20,,- - Obsessive-compulsive disorder,category,1.0,False,6.0,,False,True,BlockL1-6B2,,,,,,http://id.who.int/icd/entity/1321276661,
http://id.who.int/icd/entity/731724655,http://id.who.int/icd/release/11/mms/731724655,6B21,,- - Body dysmorphic disorder,category,1.0,False,6.0,,False,True,BlockL1-6B2,,,,,,http://id.who.int/icd/entity/1321276661,
http://id.who.int/icd/entity/1119008568,http://id.who.int/icd/release/11/mms/1119008568,6B22,,- - Olfactory reference disorder,category,1.0,False,6.0,,False,True,BlockL1-6B2,,,,,,http://id.who.int/icd/entity/1321276661,
http://id.who.int/icd/entity/675329566,http://id.who.int/icd/release/11/mms/675329566,6B23,,- - Hypochondriasis,category,1.0,False,6.0,,False,True,BlockL1-6B2,,,,,,http://id.who.int/icd/entity/1321276661,
http://id.who.int/icd/entity/1991016628,http://id.who.int/icd/release/11/mms/1991016628,6B24,,- - Hoarding disorder,category,1.0,False,6.0,,False,True,BlockL1-6B2,,,,,,http://id.who.int/icd/entity/1321276661,
http://id.who.int/icd/entity/1121465374,http://id.who.int/icd/release/11/mms/1121465374,6B25,,- - Body-focused repetitive behaviour disorders,category,1.0,False,6.0,,False,True,BlockL1-6B2,,,,,,http://id.who.int/icd/entity/1321276661,
,http://id.who.int/icd/release/11/mms/1321276661/other,6B2Y,,- - Other specified obsessive-compulsive or related disorders,category,1.0,True,6.0,,True,True,BlockL1-6B2,,,,,,http://id.who.int/icd/entity/1321276661,
,http://id.who.int/icd/release/11/mms/1321276661/unspecified,6B2Z,,"- - Obsessive-compulsive or related disorders, unspecified",category,1.0,True,6.0,,True,True,BlockL1-6B2,,,,,,http://id.who.int/icd/entity/1321276661,
http://id.who.int/icd/entity/991786158,http://id.who.int/icd/release/11/mms/991786158,,BlockL1-6B4,- Disorders specifically associated with stress,block,1.0,False,6.0,,False,,,,,,,,http://id.who.int/icd/entity/334423054,
http://id.who.int/icd/entity/2070699808,http://id.who.int/icd/release/11/mms/2070699808,6B40,,- - Post traumatic stress disorder,category,1.0,False,6.0,,True,True,BlockL1-6B4,,,,,,http://id.who.int/icd/entity/991786158,
http://id.who.int/icd/entity/585833559,http://id.who.int/icd/release/11/mms/585833559,6B41,,- - Complex post traumatic stress disorder,category,1.0,False,6.0,,True,True,BlockL1-6B4,,,,,,http://id.who.int/icd/entity/991786158,
http://id.who.int/icd/entity/1183832314,http://id.who.int/icd/release/11/mms/1183832314,6B42,,- - Prolonged grief disorder,category,1.0,False,6.0,,True,True,BlockL1-6B4,,,,,,http://id.who.int/icd/entity/991786158,
http://id.who.int/icd/entity/264310751,http://id.who.int/icd/release/11/mms/264310751,6B43,,- - Adjustment disorder,category,1.0,False,6.0,,True,True,BlockL1-6B4,,,,,,http://id.who.int/icd/entity/991786158,
http://id.who.int/icd/entity/1867081699,http://id.who.int/icd/release/11/mms/1867081699,6B44,,- - Reactive attachment disorder,category,1.0,False,6.0,,True,True,BlockL1-6B4,,,,,,http://id.who.int/icd/entity/991786158,
http://id.who.int/icd/entity/467941148,http://id.who.int/icd/release/11/mms/467941148,6B45,,- - Disinhibited social engagement disorder,category,1.0,False,6.0,,True,True,BlockL1-6B4,,,,,,http://id.who.int/icd/entity/991786158,
,http://id.who.int/icd/release/11/mms/991786158/other,6B4Y,,- - Other specified disorders specifically associated with stress,category,1.0,True,6.0,,True,True,BlockL1-6B4,,,,,,http://id.who.int/icd/entity/991786158,
,http://id.who.int/icd/release/11/mms/991786158/unspecified,6B4Z,,"- - Disorders specifically associated with stress, unspecified",category,1.0,True,6.0,,True,True,BlockL1-6B4,,,,,,http://id.who.int/icd/entity/991786158,
http://id.who.int/icd/entity/108180424,http://id.who.int/icd/release/11/mms/108180424,,BlockL1-6B6,- Dissociative disorders,block,1.0,False,6.0,,False,,,,,,,,http://id.who.int/icd/entity/334423054,
