Code,Title,Path
6E62,- - Secondary mood syndrome,/- Secondary mental or behavioural syndromes associated with disorders or diseases classified elsewhere
6E63,- - Secondary anxiety syndrome,/- Secondary mental or behavioural syndromes associated with disorders or diseases classified elsewhere
6E64,- - Secondary obsessive-compulsive or related syndrome,/- Secondary mental or behavioural syndromes associated with disorders or diseases classified elsewhere
6E65,- - Secondary dissociative syndrome,/- Secondary mental or behavioural syndromes associated with disorders or diseases classified elsewhere
6E66,- - Secondary impulse control syndrome,/- Secondary mental or behavioural syndromes associated with disorders or diseases classified elsewhere
6E67,- - Secondary neurocognitive syndrome,/- Secondary mental or behavioural syndromes associated with disorders or diseases classified elsewhere
6E68,- - Secondary personality change,/- Secondary mental or behavioural syndromes associated with disorders or diseases classified elsewhere
6E69,- - Secondary catatonia syndrome,/- Secondary mental or behavioural syndromes associated with disorders or diseases classified elsewhere
6E6Y,- - Other specified secondary mental or behavioural syndrome,/- Secondary mental or behavioural syndromes associated with disorders or diseases classified elsewhere
6E6Z,"- - Secondary mental or behavioural syndrome, unspecified",/- Secondary mental or behavioural syndromes associated with disorders or diseases classified elsewhere
6E8Y,"- Other specified mental, behavioural or neurodevelopmental disorders",
6E8Z,"- Mental, behavioural or neurodevelopmental disorders, unspecified",
8A00,- - Parkinsonism,/- Movement disorders
8A01,- - Choreiform disorders,/- Movement disorders
8A02,- - Dystonic disorders,/- Movement disorders
8A03,- - Ataxic disorders,/- Movement disorders
8A04,- - Disorders associated with tremor,/- Movement disorders
8A05,- - Tic disorders,/- Movement disorders
8A06,- - Myoclonic disorders,/- Movement disorders
8A07,- - Certain specified movement disorder,/- Movement disorders
8A0Y,- - Other specified movement disorders,/- Movement disorders
8A0Z,"- - Movement disorders, unspecified",/- Movement disorders
8A20,- - Alzheimer disease,/- Disorders with neurocognitive impairment as a major feature
8A21,- - Progressive focal atrophies,/- Disorders with neurocognitive impairment as a major feature
8A22,- - Lewy body disease,/- Disorders with neurocognitive impairment as a major feature
8A23,- - Frontotemporal lobar degeneration,/- Disorders with neurocognitive impairment as a major feature
8A2Y,- - Other specified disorders with neurocognitive impairment as a major feature,/- Disorders with neurocognitive impairment as a major feature
8A2Z,"- - Disorders with neurocognitive impairment as a major feature, unspecified",/- Disorders with neurocognitive impairment as a major feature
8A40,- - Multiple sclerosis,/- Multiple sclerosis or other white matter disorders
8A41,- - Isolated demyelinating syndromes of the central nervous system,/- Multiple sclerosis or other white matter disorders
8A42,- - Acute disseminated encephalomyelitis,/- Multiple sclerosis or other white matter disorders
8A43,- - Neuromyelitis optica,/- Multiple sclerosis or other white matter disorders
8A44,- - Leukodystrophies,/- Multiple sclerosis or other white matter disorders
8A45,- - Secondary white matter disorders,/- Multiple sclerosis or other white matter disorders
8A46,- - Central demyelination of corpus callosum,/- Multiple sclerosis or other white matter disorders
8A4Y,- - Other specified multiple sclerosis or other white matter disorders,/- Multiple sclerosis or other white matter disorders
8A4Z,"- - Multiple sclerosis or other white matter disorders, unspecified",/- Multiple sclerosis or other white matter disorders
8A60,- - Epilepsy due to structural or metabolic conditions or diseases,/- Epilepsy or seizures
8A61,- - Genetic or presumed genetic syndromes primarily expressed as epilepsy,/- Epilepsy or seizures
8A62,- - Epileptic encephalopathies,/- Epilepsy or seizures
8A63,- - Seizure due to acute causes,/- Epilepsy or seizures
8A64,- - Single seizure due to remote causes,/- Epilepsy or seizures
8A65,- - Single unprovoked seizure,/- Epilepsy or seizures
8A66,- - Status epilepticus,/- Epilepsy or seizures
8A67,- - Acute repetitive seizures,/- Epilepsy or seizures
8A68,- - Types of seizures,/- Epilepsy or seizures
8A6Y,- - Other specified epilepsy or seizures,/- Epilepsy or seizures
8A6Z,"- - Epilepsy or seizures, unspecified",/- Epilepsy or seizures
8A80,- - Migraine,/- Headache disorders
8A81,- - Tension-type headache,/- Headache disorders
8A82,- - Trigeminal autonomic cephalalgias,/- Headache disorders
8A83,- - Other primary headache disorder,/- Headache disorders
8A84,- - Secondary headache,/- Headache disorders
8A85,- - Painful cranial neuropathies or other facial pains,/- Headache disorders
8A8Y,- - Other specified headache disorders,/- Headache disorders
8A8Z,"- - Headache disorders, unspecified",/- Headache disorders
8B00,- - - Intracerebral haemorrhage,/- Cerebrovascular diseases/- - Intracranial haemorrhage
8B01,- - - Subarachnoid haemorrhage,/- Cerebrovascular diseases/- - Intracranial haemorrhage
8B02,- - - Nontraumatic subdural haemorrhage,/- Cerebrovascular diseases/- - Intracranial haemorrhage
8B03,- - - Nontraumatic epidural haemorrhage,/- Cerebrovascular diseases/- - Intracranial haemorrhage
8B0Z,"- - - Intracranial haemorrhage, unspecified",/- Cerebrovascular diseases/- - Intracranial haemorrhage
8B10,- - - Transient ischaemic attack,/- Cerebrovascular diseases/- - Intracranial haemorrhage/- - Cerebral ischaemia
8B11,- - - Cerebral ischaemic stroke,/- Cerebrovascular diseases/- - Intracranial haemorrhage/- - Cerebral ischaemia
8B1Y,- - - Other specified cerebral ischaemia,/- Cerebrovascular diseases/- - Intracranial haemorrhage/- - Cerebral ischaemia
8B1Z,"- - - Cerebral ischaemia, unspecified",/- Cerebrovascular diseases/- - Intracranial haemorrhage/- - Cerebral ischaemia
8B20,- - Stroke not known if ischaemic or haemorrhagic,/- Cerebrovascular diseases/- - Intracranial haemorrhage/- - Cerebral ischaemia
8B21,- - Cerebrovascular disease with no acute cerebral symptom,/- Cerebrovascular diseases/- - Intracranial haemorrhage/- - Cerebral ischaemia
8B22,- - Certain specified cerebrovascular diseases,/- Cerebrovascular diseases/- - Intracranial haemorrhage/- - Cerebral ischaemia
8B23,- - Cerebrovascular abnormalities,/- Cerebrovascular diseases/- - Intracranial haemorrhage/- - Cerebral ischaemia
8B24,- - Hypoxic-ischaemic encephalopathy,/- Cerebrovascular diseases/- - Intracranial haemorrhage/- - Cerebral ischaemia
8B25,- - Late effects of cerebrovascular disease,/- Cerebrovascular diseases/- - Intracranial haemorrhage/- - Cerebral ischaemia
8B26,- - Vascular syndromes of brain in cerebrovascular diseases,/- Cerebrovascular diseases/- - Intracranial haemorrhage/- - Cerebral ischaemia
