genus,species,family,kingdom,usageKey,acceptedUsageKey,acceptedScientificName
Oncosiphon,Oncosiphon pilulifer,Asteraceae,Plantae,3118650,10852031.0,Oncosiphon piluliferum
Ormocarpum,Ormocarpum trichocarpum,Fabaceae,Plantae,2954028,,Ormocarpum trichocarpum
Ornithogalum,Ornithogalum saundersiae,Asparagaceae,Plantae,2773403,,Ornithogalum saundersiae
Ornithogalum,Ornithogalum thyrsoides,Asparagaceae,Plantae,2773545,,Ornithogalum thyrsoides
Osyris,Osyris lanceolata,Santalaceae,Plantae,7473922,,Osyris lanceolata
Oxyanthus,Oxyanthus speciosus,Rubiaceae,Plantae,2901539,,Oxyanthus speciosus
Parinari,Parinari capensis,Chrysobalanaceae,Plantae,2985030,,Parinari capensis
Parinari,Parinari curatellifolia,Chrysobalanaceae,Plantae,8185443,,Parinari curatellifolia
Pelargonium,Pelargonium sidoides,Geraniaceae,Plantae,3827581,,Pelargonium sidoides
Peltophorum,Peltophorum africanum,Fabaceae,Plantae,2952780,,Peltophorum africanum
Pentanisia,Pentanisia prunelloides,Rubiaceae,Plantae,2898462,,Pentanisia prunelloides
Coleus,Coleus barbatus,Lamiaceae,Plantae,6412796,8030165.0,Plectranthus barbatus
Plectranthus,Plectranthus ecklonii,Lamiaceae,Plantae,3904963,,Plectranthus ecklonii
Plectranthus,Plectranthus hadiensis,Lamiaceae,Plantae,8338131,,Plectranthus hadiensis
Plectranthus,Plectranthus lucidus,Lamiaceae,Plantae,3903566,,Plectranthus lucidus
Plectranthus,Plectranthus purpuratus,Lamiaceae,Plantae,7309146,,Plectranthus purpuratus
Coleus,Coleus venteri,Lamiaceae,Plantae,3900996,11076130.0,Plectranthus venteri
Prunus,Prunus africana,Rosaceae,Plantae,3022853,,Prunus africana
Pseudoprospero,Pseudoprospero firmifolium,Asparagaceae,Plantae,2774040,,Pseudoprospero firmifolium
Putterlickia,Putterlickia verrucosa,Celastraceae,Plantae,3790785,,Putterlickia verrucosa
Quivisianthe,,Meliaceae,Plantae,8025262,,Quiuisianthe papinae
Rafnia,Rafnia amplexicaulis,Fabaceae,Plantae,2974555,,Rafnia amplexicaulis
Rauvolfia,Rauvolfia caffra,Apocynaceae,Plantae,3618324,,Rauvolfia caffra
Resnova,Resnova humifusa,Asparagaceae,Plantae,2767731,,Resnova humifusa
Drimia,,Asparagaceae,Plantae,9348735,2776527.0,Rhodocodon aff.
Drimia,Rhodocodon campanulatus,Asparagaceae,Plantae,10808922,,Rhodocodon campanulatus
Rosa,Rosa soulieana,Rosaceae,Plantae,3004885,,Rosa soulieana
Salvia,Salvia africana,Lamiaceae,Plantae,4931081,3886290.0,Salvia africana-caerulea
Salvia,Salvia aurea,Lamiaceae,Plantae,4931083,3884533.0,Salvia africana-lutea
Salvia,Salvia albicaulis,Lamiaceae,Plantae,3886103,,Salvia albicaulis
Salvia,Salvia aurita,Lamiaceae,Plantae,7372122,,Salvia aurita
Salvia,Salvia chamelaeagnea,Lamiaceae,Plantae,3881832,,Salvia chamelaeagnea
Salvia,Salvia disermas,Lamiaceae,Plantae,8179998,,Salvia disermas
Salvia,Salvia dolomitica,Lamiaceae,Plantae,3903804,,Salvia dolomitica
Salvia,Salvia lanceolata,Lamiaceae,Plantae,7791208,,Salvia lanceolata
Salvia,Salvia muirii,Lamiaceae,Plantae,3895306,,Salvia muirii
Salvia,Salvia namaensis,Lamiaceae,Plantae,3895126,,Salvia namaensis
Salvia,Salvia repens,Lamiaceae,Plantae,7307546,,Salvia repens
Salvia,Salvia runcinata,Lamiaceae,Plantae,3888708,,Salvia runcinata
Salvia,Salvia schlechteri,Lamiaceae,Plantae,3888159,,Salvia schlechteri
Scadoxus,Scadoxus puniceus,Amaryllidaceae,Plantae,2860719,,Scadoxus puniceus
Mesembryanthemum,Mesembryanthemum tortuosum,Aizoaceae,Plantae,3707372,7750120.0,Sceletium tortuosum
Neocussonia,Neocussonia umbellifera,Araliaceae,Plantae,3038860,3038863.0,Schefflera umbellifera
Schkuhria,Schkuhria pinnata,Asteraceae,Plantae,8346536,,Schkuhria pinnata
Schotia,Schotia brachypetala,Fabaceae,Plantae,2959242,,Schotia brachypetala
Schizocarphus,Schizocarphus nervosus,Asparagaceae,Plantae,2771386,2771381.0,Scilla nervosa
Ledebouria,Ledebouria zebrina,Asparagaceae,Plantae,3647483,5952279.0,Scilla zebrina
Scutia,Scutia myrtina,Rhamnaceae,Plantae,8317476,,Scutia myrtina
Searsia,Searsia chirindensis,Anacardiaceae,Plantae,5544393,,Searsia chirindensis
Securidaca,Securidaca longepedunculata,Polygalaceae,Plantae,5658133,,Securidaca longepedunculata
Senecio,Senecio chrysocoma,Asteraceae,Plantae,3108921,,Senecio chrysocoma
Senecio,,Asteraceae,Plantae,3106738,,Senecio orthonnoflorus
Senecio,Senecio oxyodontus,Asteraceae,Plantae,3108873,,Senecio oxyodontus
Senecio,Senecio paniculatus,Asteraceae,Plantae,3108792,,Senecio paniculatus
Senecio,Senecio pterophorus,Asteraceae,Plantae,3107177,,Senecio pterophorus
Sideroxylon,Sideroxylon inerme,Sapotaceae,Plantae,2887200,,Sideroxylon inerme
Siphonochilus,Siphonochilus aethiopicus,Zingiberaceae,Plantae,2757671,,Siphonochilus aethiopicus
Solanum,Solanum aculeastrum,Solanaceae,Plantae,2929801,,Solanum aculeastrum
Solanum,Solanum aculeatissimum,Solanaceae,Plantae,2929394,,Solanum aculeatissimum
Solanum,Solanum panduriforme,Solanaceae,Plantae,2931607,,Solanum panduriforme
Sophora,Sophora flavescens,Fabaceae,Plantae,2959073,,Sophora flavescens
Sphaeranthus,Sphaeranthus indicus,Asteraceae,Plantae,8302135,,Sphaeranthus indicus
Spilanthes,Spilanthes acmella,Asteraceae,Plantae,7367845,,Spilanthes acmella
Spirostachys,Spirostachys africana,Euphorbiaceae,Plantae,5378880,,Spirostachys africana
Streptocarpus,Streptocarpus dunnii,Gesneriaceae,Plantae,8269257,,Streptocarpus dunnii
Struthiola,Struthiola argentea,Thymelaeaceae,Plantae,5524321,,Struthiola argentea
Suregada,Suregada zanzibariensis,Euphorbiaceae,Plantae,3054868,,Suregada zanzibariensis
Lessertia,Lessertia frutescens,Fabaceae,Plantae,5358193,5633333.0,Sutherlandia frutescens
Syzygium,Syzygium jambos,Myrtaceae,Plantae,3183534,,Syzygium jambos
Vepris,Vepris gerrardii,Rutaceae,Plantae,3836832,10329959.0,Teclea gerrardii
Vepris,Vepris natalensis,Rutaceae,Plantae,3836733,3834275.0,Teclea natalensis
Terminalia,Terminalia sericea,Combretaceae,Plantae,3699769,,Terminalia sericea
Zanthoxylum,Zanthoxylum asiaticum,Rutaceae,Plantae,7896627,10789822.0,Toddalia asiatica
Vepris,Vepris bremekampii,Rutaceae,Plantae,3835148,3834676.0,Toddaliopsis bremekampii
Turraea,Turraea floribunda,Meliaceae,Plantae,3849883,,Turraea floribunda
Typha,Typha capensis,Typhaceae,Plantae,5289571,,Typha capensis
Vepris,Vepris glomerata,Rutaceae,Plantae,7269194,,Vepris glomerata
Gymnanthemum,Gymnanthemum amygdalinum,Asteraceae,Plantae,5397785,3130899.0,Vernonia amygdalina
Vernonia,Vernonia colorata,Asteraceae,Plantae,5396914,,Vernonia colorata
Vismia,Vismia baccifera,Hypericaceae,Plantae,8113584,,Vismia baccifera
Vitex,Vitex rehmannii,Lamiaceae,Plantae,3903327,,Vitex rehmannii
Warburgia,Warburgia salutaris,Canellaceae,Plantae,5603223,,Warburgia salutaris
Xysmalobium,Xysmalobium undulatum,Apocynaceae,Plantae,3571866,,Xysmalobium undulatum
