genus,species,usageKey,family
Salvia,africana-lutea,3884533.0,Lamiaceae
Salvia,albicaulis,3886103.0,Lamiaceae
Salvia,aurita,7372122.0,Lamiaceae
Salvia,chamelaeagnea,3881832.0,Lamiaceae
Salvia,disermas,8179998.0,Lamiaceae
Salvia,dolomitica,3903804.0,Lamiaceae
Salvia,lanceolata,7791208.0,Lamiaceae
Salvia,muirii,3895306.0,Lamiaceae
Salvia,namaensis,3895126.0,Lamiaceae
Salvia,repens,7307546.0,Lamiaceae
Salvia,runcinata,3888708.0,Lamiaceae
Salvia,schlechteri,3888159.0,Lamiaceae
Scadoxus,puniceus,2860719.0,Amaryllidaceae
Sceletium,tortuosum,7750120.0,Aizoaceae
Schefflera,umbellifera,3038863.0,Araliaceae
Schkuhria,pinnata,8346536.0,Asteraceae
Schotia,brachypetala,2959242.0,Fabaceae
Scilla,nervosa,2771381.0,Asparagaceae
Scilla,zebrina,5952279.0,Asparagaceae
Scutia,myrtina,8317476.0,Rhamnaceae
Searsia,chirindensis,5544393.0,Anacardiaceae
Securidaca,longepedunculata,5658133.0,Polygalaceae
Senecio,chrysocoma,3108921.0,Asteraceae
Senecio,orthonnoflorus,3106738.0,Asteraceae
Senecio,oxyodontus,3108873.0,Asteraceae
Senecio,paniculatus,3108792.0,Asteraceae
Senecio,pterophorus,3107177.0,Asteraceae
Sideroxylon,inerme,2887200.0,Sapotaceae
Siphonochilus,aethiopicus,2757671.0,Zingiberaceae
Solanum,aculeastrum,2929801.0,Solanaceae
Solanum,aculeatissimum,2929394.0,Solanaceae
Solanum,panduriforme,2931607.0,Solanaceae
Sophora,flavescens,2959073.0,Fabaceae
Sphaeranthus,indicus,8302135.0,Asteraceae
Spilanthes,acmella,7367845.0,Asteraceae
Spirostachys,africana,5378880.0,Euphorbiaceae
Streptocarpus,dunnii,8269257.0,Gesneriaceae
Struthiola,argentea,5524321.0,Thymelaeaceae
Suregada,zanzibariensis,3054868.0,Euphorbiaceae
Sutherlandia,frutescens,5633333.0,Fabaceae
Syzygium,jambos,3183534.0,Myrtaceae
Teclea,gerrardii,10329959.0,Rutaceae
Teclea,natalensis,3834275.0,Rutaceae
Terminalia,sericea,3699769.0,Combretaceae
Toddalia,asiatica,10789822.0,Rutaceae
Toddaliopsis,bremekampii,3834676.0,Rutaceae
Turraea,floribunda,3849883.0,Meliaceae
Typha,capensis,5289571.0,Typhaceae
Vepris,glomerata,7269194.0,Rutaceae
Vernonia,amygdalina,3130899.0,Asteraceae
Vernonia,colorata,5396914.0,Asteraceae
Vismia,baccifera,8113584.0,Hypericaceae
Vitex,rehmannii,3903327.0,Lamiaceae
Warburgia,salutaris,5603223.0,Canellaceae
Xysmalobium,undulatum,3571866.0,Apocynaceae
