pathway,superclass,class
"Shikimates and
Phenylpropanoids",Lignans,Furanoid lignans
"Shikimates and
Phenylpropanoids",Diarylheptanoids,Diarylether type diarylheptanoids
"Shikimates and
Phenylpropanoids",Flavonoids,Anthocyanidins
"Shikimates and
Phenylpropanoids",Flavonoids,Dihydroflavonols
"Shikimates and
Phenylpropanoids",Xanthones,Plant xanthones
"Shikimates and
Phenylpropanoids",Coumarins,Furocoumarins
"Shikimates and
Phenylpropanoids",Diarylheptanoids,Linear diarylheptanoids
"Shikimates and
Phenylpropanoids",Flavonoids,Proanthocyanins
"Shikimates and
Phenylpropanoids",Flavonoids,Flavanones
"Shikimates and
Phenylpropanoids",Stilbenoids,Oligomeric stibenes
"Shikimates and
Phenylpropanoids",Isoflavonoids,Isoflavones
"Shikimates and
Phenylpropanoids",Isoflavonoids,Coumestan
"Shikimates and
Phenylpropanoids",Isoflavonoids,Rotenoids
"Shikimates and
Phenylpropanoids",Phenylpropanoids (C6-C3),Cinnamic acids and derivatives
"Shikimates and
Phenylpropanoids",Terphenyls,m-Terphenyls
"Shikimates and
Phenylpropanoids",Phenolic acids (C6-C1),Gallotannins
"Shikimates and
Phenylpropanoids",Phenylethanoids (C6-C2),Phenylethanoids
"Shikimates and
Phenylpropanoids",Coumarins,Isocoumarins
"Shikimates and
Phenylpropanoids",Isoflavonoids,Pterocarpan
"Shikimates and
Phenylpropanoids",Flavonoids,Neoflavonoids
"Shikimates and
Phenylpropanoids",Terphenyls,p-Terphenyls
"Shikimates and
Phenylpropanoids","Diazotetronic acids and
derivatives",Pulvinones
"Shikimates and
Phenylpropanoids",Coumarins,Pyranocoumarins
"Shikimates and
Phenylpropanoids",Small peptides,Aminoacids
"Shikimates and
Phenylpropanoids",Coumarins,Simple coumarins
"Shikimates and
Phenylpropanoids",Isoflavonoids,Isoflavanones
"Shikimates and
Phenylpropanoids",Isoflavonoids,2-arylbenzofurans
"Shikimates and
Phenylpropanoids",Tropolones,Tropolones and derivatives (Shikimate)
"Shikimates and
Phenylpropanoids",Lignans,Arylnaphthalene and aryltetralin lignans
"Shikimates and
Phenylpropanoids",Stilbenoids,Monomeric stilbenes
"Shikimates and
Phenylpropanoids",Flavonoids,Flavonolignans
"Shikimates and
Phenylpropanoids",Lignans,Flavonolignans
"Shikimates and
Phenylpropanoids",Flavonoids,Flavandiols (Leucoanthocyanidins)
"Shikimates and
Phenylpropanoids",Lignans,Dibenzylbutane lignans
"Shikimates and
Phenylpropanoids",Phenolic acids (C6-C1),Simple phenolic acids
"Shikimates and
Phenylpropanoids",Phenolic acids (C6-C1),Shikimic acids and derivatives
"Shikimates and
Phenylpropanoids",Lignans,Minor lignans
Terpenoids,Diterpenoids,Platensimycin and Platencins
Terpenoids,Meroterpenoids,Cannabinoids
Terpenoids,Phloroglucinols,Phloroglucinol-terpene hybrids
Terpenoids,Polyethers,Oxasqualenoids
Terpenoids,Sesquiterpenoids,Alliacane sesquiterpenoids
Terpenoids,Sesquiterpenoids,Allohimachalane sesquiterpenoids
Terpenoids,Sesquiterpenoids,Bicyclogermacrane sesquiterpenoids
Terpenoids,Sesquiterpenoids,Bicyclohumulane sesquiterpenoids
Terpenoids,Sesquiterpenoids,Chiloscyphane sesquiterpenoids
Terpenoids,Sesquiterpenoids,Coloratane sesquiterpenoids
Terpenoids,Sesquiterpenoids,Cyclobisabolane sesquiterpenoids
Terpenoids,Sesquiterpenoids,Cyclonerane sesquiterpenoids
Terpenoids,Sesquiterpenoids,Elemane sesquiterpenoids
Terpenoids,Sesquiterpenoids,Herbertane sesquiterpenoids
Terpenoids,Sesquiterpenoids,Iphionane sesquiterpenoids
Terpenoids,Sesquiterpenoids,Isocomane sesquiterpenoids
Terpenoids,Sesquiterpenoids,Ivaxillarane sesquiterpenoids
Terpenoids,Sesquiterpenoids,Longipinane sesquiterpenoids
Terpenoids,Sesquiterpenoids,Marasmane sesquiterpenoids
Terpenoids,Sesquiterpenoids,Noreremophilane sesquiterpenoids
Terpenoids,Sesquiterpenoids,Oplopane sesquiterpenoids
Terpenoids,Sesquiterpenoids,Pinguisane sesquiterpenoids
Terpenoids,Sesquiterpenoids,Quadrane sesquiterpenoids
Terpenoids,Sesquiterpenoids,Rotundane sesquiterpenoids
Terpenoids,Sesquiterpenoids,Santalane sesquiterpenoids
Terpenoids,Sesquiterpenoids,Sativane sesquiterpenoids
Terpenoids,Sesquiterpenoids,Silphinane sesquiterpenoids
Terpenoids,Sesquiterpenoids,Silphiperfolane sesquiterpenoids
Terpenoids,Sesquiterpenoids,Sinularane sesquiterpenoids
Terpenoids,Sesquiterpenoids,Spiroaxane sesquiterpenoids
Terpenoids,Sesquiterpenoids,Sterpurane sesquiterpenoids
Terpenoids,Sesquiterpenoids,Arteminisin
Terpenoids,Sesquiterpenoids,Hamigerane sesquiterpenoids
Terpenoids,Diterpenoids,Prenylbisabolane diterpenoids
Terpenoids,Diterpenoids,Dactylomelane diterpenoids
Terpenoids,Diterpenoids,Cycloabietane diterpenoids
