class_id,class
409,Paraliane diterpenoids
410,Lathyrane diterpenoids
411,Premyrsinane diterpenoids
412,Myrsinane diterpenoids
413,Tigliane diterpenoids
414,Jatropholane diterpenoids
415,Abeotaxane diterpenoids
416,Trinervitane diterpenoids
417,Kempane diterpenoids
418,Amphilectane diterpenoids
419,Eremane diterpenoids
420,Lobane diterpenoids
421,Decipiane diterpenoids
422,Sacculatane diterpenoids
423,Obtusane diterpenoids
424,Breviane diterpenoids
425,Cyclopiane diterpenoids
426,Asperane sesterterpenoids
427,Cericerane sesterterpenoids
428,Ophiobolane sesterterpenoids
429,Betaestacin-type sesterterpenoids
430,Mangicol-type sesterterpenoids
431,Baccharane triterpenoids
432,Shionane triterpenoids
433,Pachysanane triterpenoids
434,Bauerane triterpenoids
435,Adianane triterpenoids
436,Filicane triterpenoids
437,Malabaricane triterpenoids
438,Saponaceolide triterpenoids
439,Bufadienolides
440,"Carotenoids (C40, β-Ψ)"
441,"Carotenoids (C40, ε-Ψ)"
442,"Carotenoids (C40, π-Ψ)"
443,"Carotenoids (C40, Χ-Ψ)"
444,"Carotenoids (C40, γ-ε)"
445,"Carotenoids (C40, β-π)"
446,"Carotenoids (C40, β-Χ)"
447,"Carotenoids (C40, β-κ)"
448,"Carotenoids (C40, κ-Χ)"
449,"Carotenoids (C40, π-π)"
450,"Carotenoids (C40, π-Χ)"
451,"Carotenoids (C45, β-Ψ)"
452,"Carotenoids (C45, ε-Ψ)"
453,"Carotenoids (C50, β-β)"
454,"Carotenoids (C50, ε-ε)"
455,"Carotenoids (C50, γ-γ)"
456,"Apocarotenoids (C30, Ψ-Ψ)"
457,Bactoprenols
458,Dolichols
459,Polyprenol derivatives
460,Merosesquiterpenoids
461,Meroterpenoids with 5- or 6-membered ring
462,Meroterpenoids with bridged ring
463,Merohemiterpenoids
464,Agarofuran sesquiterpenoids
465,Vitamin D3 and derivatives
466,Limonoids
467,Lupane triterpenoids
468,Ursane and Taraxastane triterpenoids
469,Cardenolides
470,Briarane diterpenoids
471,Grayanotoxane diterpenoids
472,Oleanane triterpenoids
473,Lactarane sesquiterpenoids
474,Prenyl quinone meroterpenoids
475,Mulinane diterpenoids
476,Norsesterterpenoids
477,"Carotenoids (C40, β-β)"
478,Laurane sesquiterpenoids
479,Dammarane and Protostane triterpenoids
480,Cedrane and Isocedrane sesquiterpenoids
481,Monocarbocyclic sesterterpenoids
482,"Carotenoids (C40, Ψ-Ψ)"
483,Cembrane diterpenoids
484,Cyclofarnesane sesquiterpenoids
485,Spriromeroterpenoids
486,Trichothecane sesquiterpenoids
487,Quassinoids
488,Cycloartane triterpenoids
489,Multiflorane triterpenoids
490,Serratane triterpenoids
491,Kaurane and Phyllocladane diterpenoids
492,Chamigrane sesquiterpenoids
493,Nagilactone diterpenoids
494,Africanane sesquiterpenoids
495,Asteriscane sesquiterpenoids
496,Guanacastane diterpenoids
497,Pachydictyane diterpenoids
498,Linear sesterterpenoids
499,Ecdysteroids
500,Vitamin D2 and derivatives
501,Cucurbitane triterpenoids
502,Taxane diterpenoids
503,Oppositane sesquiterpenoids
504,Furanoabietane diterpenoids
505,Tetracyclic diterpenoids
506,Furostane steroids
507,Germacrane sesquiterpenoids
508,Gymnomitrane sesquiterpenoids
509,"Presilphiperfolane and Probotryane
sesquiterpenoids"
510,Pseudopterane diterpenoids
511,Xenicane diterpenoids
512,Serrulatane and Biflorane diterpenoids
513,Abeolupane triterpenoids
514,Acyclic triterpenoids
515,"Carotenoids (C40, β-ε)"
516,Dolabellane diterpenoids
517,Apotirucallane triterpenoids
518,Pregnane steroids
519,Tremulane sesquiterpenoids
520,Pentalenane sesquiterpenoids
521,Totarane diterpenoids
522,Onocerane triterpenoids
523,Polypodane triterpenoids
524,"Carotenoids (C50, Ψ-Ψ)"
525,Thujane monoterpenoids
526,Erythroxylane diterpenoids
527,Xeniaphyllane diterpenoids
528,Hopane and Moretane triterpenoids
529,Iridoids monoterpenoids
530,Androstane steroids
531,Cholestane steroids
532,Carane monoterpenoids
533,Picrotoxane sesquiterpenoids
534,Thujopsane sesquiterpenoids
535,Valerenane sesquiterpenoids
536,Halimane diterpenoids
537,Rhamnofolane diterpenoids
538,Cholane steroids
539,Spirovetivane sesquiterpenoids
540,Apocarotenoids(ε-)
541,Colensane and Clerodane diterpenoids
542,Himachalane sesquiterpenoids
543,Nardosinane sesquiterpenoids
544,Fusicoccane diterpenoids
545,Cheilanthane sesterterpenoids
546,Fusidane triterpenoids
547,Guaiane sesquiterpenoids
548,Pseudoguaiane sesquiterpenoids
549,Cassane diterpenoids
550,Eremophilane sesquiterpenoids
551,Eunicellane diterpenoids
552,Scalarane sesterterpenoids
553,Caryolane sesquiterpenoids
554,Illudalane sesquiterpenoids
555,Viscidane diterpenoids
556,Ergostane steroids
557,Patchoulane sesquiterpenoids
558,Norkaurane diterpenoids
559,Beyerane diterpenoids
560,Fernane and Arborinane triterpenoids
561,Jatrophane diterpenoids
562,Bergamotane sesquiterpenoids
563,Illudane sesquiterpenoids
564,Glutinane triterpenoids
565,Aromadendrane sesquiterpenoids
566,Ingenane diterpenoids
567,Labdane diterpenoids
568,Secolabdane diterpenoids
569,Spirostane steroids
570,Stigmastane steroids
571,Menthane monoterpenoids
572,Irregular monoterpenoids
573,Capnellane sesquiterpenoids
574,Carabrane sesquiterpenoids
575,Clovane sesquiterpenoids
576,Abietane diterpenoids
577,Spongiane diterpenoids
578,Trachylobane diterpenoids
579,Cyathane diterpenoids
580,Prenyleudesmane diterpenoids
581,Neohopane triterpenoids
582,Monocyclic monoterpenoids
583,Secoiridoid monoterpenoids
584,"Lanostane, Tirucallane and Euphane triterpenoids"
585,Brasilane sesquiterpenoids
586,Pinane monoterpenoids
587,Verticillane diterpenoids
588,Atisane diterpenoids
589,Cuparane sesquiterpenoids
590,Eudesmane sesquiterpenoids
591,Zizaane sesquiterpenoids
592,Sphenolobane diterpenoids
593,Meromonoterpenoids
594,Daucane sesquiterpenoids
595,Secokaurane diterpenoids
596,Apocarotenoids (β-)
597,Cycloeudesmane sesquiterpenoids
598,Estrane steroids
599,Botryane sesquiterpenoids
600,Humulane sesquiterpenoids
601,Podocarpane diterpenoids
602,Campherenane sesquiterpenoids
603,Copacamphane sesquiterpenoids
604,Dunniane sesquiterpenoids
605,Gorgonane sesquiterpenoids
606,Ishwarane sesquiterpenoids
607,Isolactarane sesquiterpenoids
608,Pimarane and Isopimarane diterpenoids
609,Friedelane triterpenoids
610,Stictane triterpenoids
611,Cadinane sesquiterpenoids
612,Noreudesmane sesquiterpenoids
613,Cleistanthane diterpenoids
614,Copaane sesquiterpenoids
615,Secoeudesmane sesquiterpenoids
616,Acorane sesquiterpenoids
617,Cubebane sesquiterpenoids
618,Cyclolaurane sesquiterpenoids
619,Humbertiane sesquiterpenoids
620,Isodaucane sesquiterpenoids
621,Icetexane diterpenoids
622,Gammacerane triterpenoids
623,Megastigmanes
624,Phytane diterpenoids
625,Miscellaneous apocarotenoids
626,Secoabietane diterpenoids
627,Caryophyllane sesquiterpenoids
628,Homofarnesane sesquiterpenoids
629,Longibornane sesquiterpenoids
630,Pacifigorgiane sesquiterpenoids
631,Valerane sesquiterpenoids
632,Abeoabietane diterpenoids
633,Sphaeroane diterpenoids
634,"Carotenoids (C40, β-γ)"
635,"Carotenoids (C40, ε-ε)"
636,Drimane sesquiterpenoids
637,Camphane monoterpenoids
638,Longifolane sesquiterpenoids
639,Farnesane sesquiterpenoids
640,Fenchane monoterpenoids
641,Prezizaane sesquiterpenoids
642,Protoilludane sesquiterpenoids
643,Valparane diterpenoids
644,Norpimarane and Norisopimarane diterpenoids
645,Hirsutane sesquiterpenoids
646,Norlabdane diterpenoids
647,Bourbonane sesquiterpenoids
648,Thapsane sesquiterpenoids
649,Cyclophytane diterpenoids
650,Secogermacrane sesquiterpenoids
651,Cycloamphilectane diterpenoids
